stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,visceral_smooth_muscle
  7-9,5.04,0,0,0,0,0,5.88,0,0,0,3.65,0,0,4.05,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0
 24-34,0,0,0,1.82,0,0,0,0,0,0,6.44,0,0,0,0,0,0,0
 36-46,0,7.67,0,0.8,3.95,0,0,0,0.78,0.94,16.5,0,0,0,0,0.87,0.78,0
 48-58,0,0,0,1.56,2.54,0,0,0,6.56,0,34.75,0,0,0,0,0.54,2.12,0
 60-70,0,0,16.08,0,0.62,0.85,0,0,3.24,0,41.55,6.55,0,0,0,0,7.92,0
 72-82,0,0.6,20.3,0,2.47,0,0,0,1.9,0,69.58,0,1.14,0,0,0,1.3,0
 84-94,0,0,9.32,0,4.13,0,0,0.55,5.54,0,31.01,0,1.04,0,0,0,0,0
 96-106,0,0,29.15,0,10.34,0,0,0,4.17,0,42.74,0,0,0,0,0,0,0
108-118,0,0,3.23,1.32,1.09,0,0,0,6.53,0,22.06,0,0,0,3.32,0,0,0.54
120,0,0,0,0,0,0,0,0,8.2,0,41.13,0,0,0,0,0,0,0
