stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,heart,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,pericytes,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,19.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,20.69,0,0,0,0,0,0,0
 10-12,0,10.77,0,0,0,0,0,0,0,0,0,0,0,15.55,0,0,0,0,0,0,0
 14-21,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0
 24-34,0,0,1.78,0,0,0,0,0,0,1.16,0,0,0,0,5.55,0,2.65,0,0,0,0
 36-46,0,0,0.77,0,5.04,0,0,0,0,3.13,0,0,0,0.66,2.33,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.5,0,0,0,5.98,0,0,0,0,0,0,1.31,0,0,0,0
 60-70,0,0,0,0,6.95,0,0.9,0,0,6.23,0,0,4.92,0,0,1.92,1.09,0,3.74,0,0.85
 72-82,0,0,0,2.76,0,0,0,0,0.89,15.38,0.51,1.23,0,1.11,0,2.81,0,2.98,1.74,0,0.71
 84-94,0,0,2.24,1.39,0,0,0,0.56,0,35.89,0,0,1.99,0,0.57,2.48,0,0,4.5,0,1.36
 96-106,0,0,0.74,0,2.66,0,0,0,0,28.22,0,0,6.62,2.36,1.29,6.94,0,0,3.88,4.44,2.46
108-118,0,0,4.01,1.77,1.69,0,0.69,0,0,19.79,0,0.49,1.61,1.69,1.24,13.43,0,0,8.62,4.69,7.29
120,0,0,0,0,10.09,0,3.65,0,0,13.14,0,0,0,0,5.7,4.48,0,0,7.01,6.05,0
