stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,4.28,0,0,0,0,0,0,0,15.52,0,0,5.86,6.1,0,0,0,1.15,5.58,1.14,0,0
 24-34,3.08,0.76,0,1.24,0,0,0,0,20.59,0,0,2.01,8.18,0,1.55,0,0,0.64,1.67,0,0
 36-46,0,0.65,0,1.09,0,0,0,2,28.05,0,0,2.02,9.67,0,0,0,0,0,0.83,0,0
 48-58,1.57,1.26,0,0,0,0,0,1.69,86.39,0,0,6.2,24.38,0,2.52,0,0,0,2.83,0,0
 60-70,0.69,1.89,0,0,0,0,0,1.2,203.46,0,0,4.12,14.99,0,0.63,0.6,0,0,0,1.19,0
 72-82,1.71,9.73,1.33,1.69,2.5,0,0,0.9,288.69,0,6,3.24,18.6,0,5.9,3.07,0,0,2.2,0,7.29
 84-94,7.3,4.92,0,1.46,1.69,0,0.8,3.25,222.54,0,0,1.44,14.31,0.77,8.15,7.46,0,0,0,0,0
 96-106,3.54,6.23,1.61,1.05,1.65,0,0,11.92,287.9,0,0,12.25,16.7,0,16.55,10.66,0,0,0,0.78,2.99
108-118,2.23,4.79,0,3.28,1.76,0.82,0,6.94,318.14,0.59,1.08,7.29,20.1,0,15.87,8.01,0,0,0,0,3.36
120,3.18,1.35,0,0,8.27,0,0,15.61,160.86,0,0,5.07,65.28,0,16.35,8.61,0,0,3.5,0,2.73
