stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,50.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,28.33,0,8.31,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.49,0,0,0,6.35,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,29.65,1.02,0,17.94,0,0,0,22.83,0,0,0,0,0,0,0,0,0,5.43,0,1.02,892.1,0,0,2.28,0.8,0,0,1,0,3.01,650.81,0,0,0,0,0
 24-34,0,0,0.84,0,18.8,1.71,0,170.68,0,0.97,0,43.83,0,0,0,0,0,0,0,0,0,13.93,0,5.34,6209.74,0,9.14,7.44,0,0,0,0,0,2.14,1927.7,0,0,6.45,0,0
 36-46,0,0,0,0,13.13,0,0,827.87,3.91,0,0.57,35.83,0,0,1.51,0,0,0,0,6.28,0.86,17.55,0.71,6.9,13212.39,0,12.82,5.69,0,0,6.1,0,0,0,2457.23,0,0,3.31,0,0
 48-58,0.39,0,0,0,22.26,5.2,0,2146.89,0,6.53,2.8,149.02,0,1.43,0.37,0.68,0,0,2.05,5.93,3.46,26.01,9.75,36.54,17957.11,5.13,2.4,1.44,0,0.56,2.94,0,0.73,0,2618.11,0,0,9.14,0,4.9
 60-70,0,0,0,0,13.15,0.68,0,3424.02,0.59,0,1.48,71.95,0,0,0,5.77,0,0,1.76,0,0,34.09,0,2.26,12280.57,1.73,0.73,1.86,0,0,3.77,0,0,0,1693.89,0,0,12.85,0,3.46
 72-82,0,0,1.01,0,28.21,4.24,0,3333.97,0,0,1.4,79.69,1.38,0,0,4.17,1.84,6.96,0,3.06,0,58.84,3.19,10.54,9482.86,0,2.23,7.75,0,0,2.71,0,3.73,0,928.76,1.21,4.55,30.17,1.15,3.38
 84-94,0,0,0,0,38.19,2.61,0,2586.68,0,4.74,1.1,97.68,2.65,0,1.97,9.64,0.69,0.62,0,0,5.22,61.93,19.32,13.62,7007.43,0,3.14,8.94,0,5.96,3.04,0,0,0,650.33,1.21,1.33,27.95,2.73,0
 96-106,0,0,0,0,18.92,12.13,0,1821.22,1.67,0,0.64,50.41,1.19,0,2.06,2.55,0,0.63,1.68,1.54,0,28.96,2.39,8.28,4255.04,1.28,1.46,4.48,0,0,2.26,0,0,0,198.46,0,10.4,21.23,0.64,3.35
108-118,0,0,0,0,36.66,1.13,0.41,1513,4.79,0.52,0,71.11,1.64,0,0,5.08,0,0,0,1.21,0,48.02,5.99,2.76,3706.07,0,5.76,22.54,0,0.97,0.44,0,1.48,0,111.02,1.81,0.77,21.57,1.11,0
120,0,0,0,0,27.34,1.27,15.5,1046.42,0,1.21,0,64.37,0,0,0,8.92,1.65,0,1.69,0,0,58.38,5.31,0,3785.79,3.89,24.51,5.43,0,0,0,0,4.29,0,82.5,0,1.54,23.62,0,0
