stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,821.78,9112.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,2310.94,10488.29,0,70.18,0,0,0,0,0,0,0,0,172.53,0,0,0,0,0,0,0,0,0,0,0,1042.84,197.18,0,0,371.28,0,290.27,0,0,0,0,0,0,0,0,0,0,0
  7-9,1241.64,241.23,0,486.38,0,0,0,765.44,0,0,0,0,401.01,0,0,0,0,0,0,0,0,0,0,0,7579.47,812.67,0,0,5061.63,0,142.43,79.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,230.31,0,478.48,0,66.82,0,591.23,0,0,0,0,29.04,0,0,0,0,0,0,0,0,0,0,0,7212.23,72.48,0,0,3021.52,0,41.21,41.76,9.5,357.69,0,24.7,25.7,0,0,0,0,0
 14-21,0,0.9,0,28.09,333.01,77.13,0,213.37,0.87,0,35.84,11.56,1.19,2.14,2.16,8.84,1.48,1.95,0,0,160.89,0,0,188.49,2697.71,33.79,17.87,27.96,71.98,0,157.15,0,372.54,29.03,0,272.88,973.76,0,0,10.77,0,0
 24-34,0,0,0,7.32,102.45,32.57,0,484.61,3.01,0,73.84,6.63,4.52,3.46,6.45,1.72,4.95,6.89,12.58,0,390.99,2.91,4.49,184.59,4730.27,47.41,46.79,36.82,0,0,311.5,0,1.24,19.83,1.04,23.72,1266.02,0,0,101.49,0,3.3
 36-46,0,0,0,1.51,64.4,17.3,0,1171.28,0,0.95,90.3,2.66,1.2,2.09,25.64,0,12.56,0,1.74,6.19,403.03,4.69,15.26,117.28,3346.28,8.66,16.67,18.84,0,0,102.72,0,0,3.1,0,0,945.95,0,0,36.53,0,7.97
 48-58,0,0,0,1.75,91.02,30.73,0,1703.38,0.96,1.97,93.76,1.38,2.77,10.42,18.16,0,14.77,3.04,1.64,0,380.5,3.29,30.16,79.39,1844.86,6.07,8.94,13.6,0,0,45.02,0,2.72,2.48,0,0,357.94,0,0,38.38,0,13.03
 60-70,0.81,0,0,0,81.93,4.99,0,1293.59,4.3,0,95.62,8.78,0,2.54,9.4,0,3.75,6.53,3.3,0,276.24,0,26.11,44.99,881.11,4.44,8.56,7.64,0,0,41.2,0,0,0,0.71,0,65.81,0.59,0,34.85,0,1.44
 72-82,0,0,1.15,0,49.83,10.55,0,570.35,0,1.05,77.86,15.68,0.59,2.82,12.37,3.82,3.37,0,2.87,0.49,203.43,0.58,11.29,45.26,456.16,2.81,8.2,7.33,0,3.03,10.08,0,0,10.72,0,0,37.66,2.28,0.57,41.11,0,3.34
 84-94,0,0,0,1.74,82.72,12.41,1.93,580.07,0,1.42,74.06,24.13,0.85,2.62,16.83,2.45,9.19,0.56,8,14.9,191.02,0,21.89,53.65,447.92,8.35,6.8,13.8,0,0,20.37,0,0,5.79,0,0,7.04,5.79,0,57.9,8.93,8
 96-106,0,0,0,0,57.71,15.07,1.8,454.09,1.1,0,51.03,22.99,0,8.8,19.49,3.54,3.79,2.79,0,0,128.4,0,11.02,17.14,327.96,5.22,11.23,13.68,0,0,25.01,0,0,4.96,0,0,22.85,3.93,0.56,20.48,5.76,0
108-118,0,0,0.71,0,37.27,26.83,2.18,456.93,1.01,0,73.06,5.71,0,0,20.24,5.56,6.66,0.84,4.66,0,91.02,0,17.52,38.48,467.1,9.78,10.95,6.94,0,0,19.46,0,0,4.14,0,0,6.57,1.48,0,20.53,0,7.95
120,0,0,1.16,0,31.64,36.07,1.13,458.89,0,0,85.59,4.21,0,0,13.56,0,14.37,2.89,1.65,0,102.52,0,1.41,14.48,525.39,7.88,4.47,11.04,0,0,11.86,0,0,0,0,0,8.85,1.1,0,30.57,0,0
