stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,128.56,2235.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.38,0,0,0,0,0,0,0,0
  5-6,46.17,680.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.06,0,0,0,6.9,0,6.49,0,0,0,0,0,0,0,0
  7-9,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.27,0,0,0,15.82,0,0,4.77,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.46,0,0,0,0,0,0,3.78,6.28,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,0,0,0,1.1,0,0,0,1.75,1.03,0,0,0
 24-34,0,0,0,7.01,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,2.68,0,0,0,0,0,9.55,0,0,0,0,1.43,0,0,0.69
 36-46,0,0,0,1.18,0,0,15.07,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,7.71,0,0,0.59,0,0,29.82,0,0,0,0,7.97,0,4.53,0
 48-58,0,0,0,3.01,0,0,11.5,0.38,0,0,0,0,0.8,0,0.89,0,0,0.6,0,0,0,17.86,0.93,0,0,0,0,36.45,0,0,0,0,1.45,0,0,0
 60-70,0,0,0,11.84,0,0,29.69,6.44,0,7.09,1.27,0,0.61,0,4.29,0,0,0,0,0,0,33.13,0,0,0,0,0,31.31,0,0,0,0,0,0,0,6.67
 72-82,0,0,0.5,5.66,0,0.76,50.62,3.62,0,16.27,8.95,1.5,0.68,1.1,0.57,0,6.04,3.86,0,0,0,26.05,0,0,0,0,2.16,15.26,0,0,0,0,0,0,0,0
 84-94,0,0,4.96,8.07,0,0.78,39.17,0,6.8,17.55,21.63,0,4.31,1.6,1.2,0.67,0,2.07,0.85,0,0,21.72,0,0.95,0,0,3.87,58.46,0,0.74,0,0,3.65,0,0.84,9.43
 96-106,0,0,2.34,9.42,7.04,1.12,108.65,1.49,0,37.21,19.27,1.33,9.42,0.56,2.81,1.95,10.33,19.06,0,0,0,28.6,0,2.98,1.59,0,1.77,35.95,0,0,0,0,0,0,1.51,1.22
108-118,0,0,1.95,6.76,0,0.82,165.86,3.29,1.14,25.39,18.87,0,2.48,1.17,26.13,0,3.84,27.97,0.54,1.32,0,37.84,0,0,2.1,0,2.87,13.84,0,1.98,0,0,0,2.38,2.12,5.12
120,0,0,0,15.91,0,2.35,108.87,1.23,0,81.01,26.51,0,3.38,2.68,10.51,0,7.77,9.96,0,0,11.17,107.66,0,0,0,0,0,19.89,0,0,1.21,0,0,0,1.32,0
