stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,5.27,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,8.81,0,8.37,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0,0,1.27,0,0,119.77,0,0,11.07,0,0,0,0
 24-34,0,1.3,0,0,0,0,0,0.63,0,0,0,0,0,0,0,1.55,1.48,0,0,130.55,10.05,2.39,0,0,0,367.08,0.63,0,69.19,0,0,0,0
 36-46,0,1.56,0,19.51,0,0,0,0,0,1.84,1.86,0,0,3.34,0,3.49,0.87,0.57,0,268.2,0,0,0,0,0,419.5,0,0,113.47,0,0,0,1.45
 48-58,0,4.66,0,38.16,0.5,0.65,1.96,0,0,0,1.5,0,0,0,0,3.17,0,0,0,295.85,0,0,0,0,0,259.54,0,0.93,107.7,0,0,0,0
 60-70,0,7.09,0,84.3,2.82,4.91,0,0,1.71,0,8.31,0,0,0,0,5.45,3.86,0,1.06,364.83,0,1.19,0,0,0.63,220.8,0,0,70.85,0,0,0,0
 72-82,0,10.35,1.45,111.24,0.5,1.28,7.75,0,0,0,7.5,0.7,6.37,0,0,10.43,0.95,0,0,501.51,0,2.06,0,0,0,116.99,0,0,75.08,0,0,0.59,0
 84-94,1.42,49.99,1.59,112.89,4.47,0,8.68,0.72,0,0,10.66,2.93,0,0,0,5.82,0.65,0,0.6,278.2,0,0,0,0,6.05,379.07,0,0,48.93,0,3.45,0.97,0
 96-106,1.56,29.17,10.94,233.58,0,0,11.63,1.81,0,0.96,14.37,2.03,0,0.63,5.65,8.82,3.42,1.49,0,392.84,0,1.1,0,0,0,328.15,0,0,35.06,2.45,0,0,0
108-118,4.9,46.45,0,247.49,3.8,0,10.37,1.47,0,0.47,13.15,1.69,0,1.06,2.83,5.83,1.71,0,0,549.52,0,1.8,1.09,0,2.81,255.68,0,0,51.04,0,1.46,0.66,0
120,0,17.69,0,243.69,2.69,0,14.38,0,0,5.19,38.42,2.56,0,0,0,20.13,1.11,3.62,4.22,625.24,0,2.28,3.01,0,4.46,193.26,0,0,34.35,0,0,0,0
