stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.46,15.25,0,0,0,0,0,0,0,0
 14-21,0,0,0,16.02,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.66,0,0,0,2.27,0,0.68,0,0,0,7.05,0,0,0,0,1.12,0,0.65,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,36.09,0,0,0,0,1.45,0,0,0,0
 48-58,0,0,0,0,6.5,0,0,1.24,0,0,0,0,0,0,83.01,0,0,0,0,4.1,0,0,0,7.32
 60-70,0,0,0,0,77.88,0.67,0,24.84,0,0,0,0,0,0,289.06,0,0,0,1.8,26.03,0,0,0,0
 72-82,0,0,2.18,0,120.86,0,0,29.19,0,0,6.04,0,1.12,0,505.51,0,1.28,0,0,19.56,0,0,0,0
 84-94,0,1,2.09,0,91.32,0,0,35.74,0,0,1.61,0,9.04,0,392.19,0,0,0,0,9.45,0,0,0,0
 96-106,0,0,2.2,0,177.94,0,0,45.99,0,0.89,9.78,3.31,0,0,399.06,0,0,3.65,2.2,2.33,0,0,0,0
108-118,0,0,0.45,3.82,198.68,0,0.49,23.95,0,1.45,8.09,0,0,0,398.14,0,0,2.74,0.6,5.68,1,1.57,0.66,0
120,0,0,3.24,3.63,119.46,1.53,0,31.26,0,5.27,8.25,0,0,8.31,732.26,0,0,0,0,17.7,0,0,0,0
