stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81,0,18.45,0,0,0,0,0,0,0,0,0,0
 10-12,4.6,0,3.73,0,0,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,34.36,0,0,0,0,0,4.52,0,7.62,0,0,0,0,0,0,0,0
 14-21,0,1.05,0,108.23,2.92,3.52,0,0,0,0.99,0,0,0,0,1.5,0,0,0,3.84,0,0,5,148.18,0,0,0,1.53,0,46.78,0.99,0,1.04,3.3,66.93,0,0,2.13,0,0
 24-34,0,0,0,11.2,0,2.69,0,1.1,0,10.03,0,0,3.07,0,1.74,0,0,0,8.57,0,0,0,263.67,0,2.01,0,0,0,0,0,0,0,3.61,103.61,0,0,5.59,0,0
 36-46,0,0,0,10.14,0,15.56,0,0,0,99.39,0,0,1.49,0,1.21,0,0,1.09,30.7,0,0,3.28,392.85,0,0.62,0,0,0,0,0,0,0,0,96.95,0,0,1.25,0,1.02
 48-58,0,0,0,17.66,0,26.37,0,2.64,0.7,263.7,0,0,1.33,0,0,0,15.4,0.56,99.73,0,0,2.92,763.87,0,0.44,2.38,0,0,0,0,0.73,0,0,124.66,0,0.37,0,0,0.89
 60-70,0,0,0,22.83,0,43.4,0,7.47,2.47,341.46,0,0,0,5.16,0,0,0,0,143.02,0,5.67,0.8,1421.79,0,0,2.22,0,0,2.72,0,0,3.94,0,137.29,0,2.17,0,0,0
 72-82,0,0,0,15.93,0,151.66,1.87,3.85,9.47,384.41,0,0,0,0,0,2.96,0,0,146.21,0,8.52,3.06,1415.54,0,0,4.72,0,4.06,0,0,0,0,0,106.79,1.21,7.18,10.9,7.27,5.78
 84-94,0,1.44,0,9.2,1.48,102.97,0,7.93,0,309.26,0,0,0,0.57,0,0.55,0,0,120.01,0,7.72,3.16,948.91,0,0.93,7.24,0,0.57,4.88,0,0,0,0,106.32,0,7.11,2.77,2.32,0
 96-106,0,0,0,25.85,7.52,119.31,0.87,4.62,3.48,269.56,0.63,0,0.86,0,0.85,0,0,0.68,132.81,0,11.52,1.13,718.99,0.79,0.81,0.6,0,2.69,3.25,0,0,0,0,32.1,0,16.42,1.66,3.76,6.26
108-118,0,1.21,0,22.78,0,144.19,0,14.49,1.23,283.79,0.58,0,0,0.62,0,0.9,0,0.54,95.93,0,6.43,4.09,1150.73,0,0,1.98,0,4.85,2.31,0,0,0,0,32.95,0,6.57,0.92,1.1,0
120,0,0,0,22.59,0,155.28,0,11.43,0,387.66,0,0,1.61,1.44,3.03,0,6.38,0,62.66,1.56,21.6,0,1288.71,0,0,12.48,0,0,1.27,0,0,0,0,14.03,0,0,0,16.16,0
