stage,epidermis,eye,fin_epithelia,glial,gut,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.24,0,0,4.55,0,0,0,0,0,0
 24-34,0.64,0,0,0,0,0,0,1.26,0,0,10.33,0,0,0,0,0,0.85
 36-46,0,0.83,0,0,0,0,0,0,0,0,0,0,0,8.28,0,0,0
 48-58,0,0,0.63,0.65,0,0,0,0.7,0,0,1.43,0,0,0,5.85,0.81,0
 60-70,0,0,0,1.18,0,0,0,0,0,0,0,1.1,0,0,0,0,0
 72-82,0,0,3.73,0.7,1.26,0.79,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.1,0,1.01,0,0,2.45,0.74,0,0,0
 96-106,0,1.24,0,0.96,0,0,0,6.8,0,0,0.57,0,0,1.46,0,2.27,0.57
108-118,0.6,5.42,0,0,0.54,0,0,0,0.92,0.46,0.57,0,0,0,0,0,0
120,0,0,0,0,0,0,1.5,0,0,0,2.94,0,0,0,0,0,0
