stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,heart,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  5-6,17.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.81,0,5.77,0,0,0,0,0
 14-21,0,0,1.68,0,0,0,0,0,0,0,0,1.39,2.99,0,0,0.86,0,0,0,0
 24-34,0,0,0.83,0,0.63,0,0,0,0,0,0,12.07,0,0,0,0,0,0.64,0,0
 36-46,0,0,0,0,0,0,0,0,2.32,0,1.32,2.14,0,0.8,0,0,0,0,0,0
 48-58,0,0,5.76,0.65,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,2.79,0
 60-70,0,0.7,0,0.79,4.31,1.37,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.49,0,2.62,0,0,1.49,0,0,1.68,0,0,0,0,0,0,0,1.49
 84-94,0,0,3.34,0.72,0,1.5,0.64,0,1.19,1.94,0,0,1.54,0,0,0,0,0,0,0
 96-106,0,0,0,6.66,0,0,0,0,6.84,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.43,2.35,0,1.1,8.76,0,0,0,0,0.79,0,0,1.98,0,0,0
120,0,0,1.24,0,0,4.35,0,0,4.52,0,1.9,0,0,1.99,0,0,0,0,0,0
