stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.05,0,12.24,1.9,0,7.41,0,0,0,0.88,0.91,0,1.26,0,0,0,0,0,0,5.02,0,0,0,19.03,2.07,0,2.93,0,5.52,2.16,1,1.99,13.85,0,0,1.64,0,0
 24-34,0.9,0.65,4.69,0,0,3.61,0,2.72,0,2.29,0,0,1.24,0,0,0,1.36,0,0,13.07,5.25,1.63,3.75,127.73,0,1.05,3.2,0,23.91,0,0,1.7,23.25,0,0,9.96,0,0
 36-46,0,0,6.11,0,0,19.04,0,0,0,4.43,0,0.76,0,0,0.79,0,0,0,0.61,24.01,0,0,4.52,124.31,1.18,0,2.11,0,13.16,0,0,0,33.65,0,0,8.3,0,1.31
 48-58,0,0,1.91,0,0,34.93,0,0,0,13.03,0,0,0,0,0,0,0,0,1.16,13.46,0,2.11,3.33,132.95,0,0,0,0.53,13.05,0,0,0,28.99,0,0,7.29,0,4.45
 60-70,0,0,4.62,0,0,21.33,0,3.22,1.64,8.43,0,0,0,0,7.11,0,1.66,0,0,20.61,1.41,1.34,1.43,122.66,0,1.44,0.95,0,1.93,0,0,0,7.72,0,0,6.67,0,0
 72-82,0,0,3.12,0,0,30.57,0,3.67,0.7,17.26,0.76,0,0,0,0,1.21,2.59,0,0,28.52,0.88,1.6,0.92,71.74,0,0,0,1.67,3.03,0,1.03,0,29.14,0,0,10.59,0.86,1.81
 84-94,2.57,0,6.43,0,0,11.86,0,0,0,24.99,0.63,0,0,0,1.15,0,0,0,4.37,12.96,3.68,5.84,3.46,73.15,0,2.89,5.97,0,11.69,0,0.64,0,1.48,0.9,0,8.88,5.55,0
 96-106,0.99,0,11.87,0,0,20.13,0,1.84,0,25.47,0.7,0,0,0.6,0,0,0.57,2.21,0.69,18.25,0,0,1.47,51.05,0,4.64,0.72,0,31.82,0,0,0,14.53,0,0,10.71,1.28,5.01
108-118,0,0,3.73,0,0.52,15.73,0,2.36,0,9.13,0.97,0,0.99,0,0,0,0,0,5.02,17.15,0.93,0,3.82,32.05,0,0.97,0,0,10.88,0,0,0,5.49,1.76,1.16,8.36,1.81,2.13
120,3.73,0,12.2,0,0,38.83,1.18,0,0,47.64,6.56,0,0,0,0,0,0,0,0,2.56,3.01,0,4.57,82.48,0,1.32,0,0,4,0,0,0,2.04,1.89,0,18.86,10.7,7.47
