stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0.86,0,7.38,0,0,0,0,0,3.78,0,0,0,0
 24-34,0,0,0,0,3.6,0,0,0,0,0,1.01,0,0,7.03,0.99,40.49,0.61,0,0,0,0.94,8.24,0,0,0,3
 36-46,0,0,0,0,4.23,0,0,0.82,0,0,0,0,0,1.29,0,32.08,0,0,0,3.63,0,8.47,0,0,0,0
 48-58,0,0,0,0,13.06,0.38,0.78,0,0.82,0,0,0,0,2.11,0,39.5,0,0,0,7.96,0,3.65,0,3.32,0,0
 60-70,0,0,0,0,23.46,0,2.09,0,22.72,0.69,0,0,2.2,5.04,0,56.56,0,0,0,2.93,0,2.87,0,2.44,0,0
 72-82,0.86,0,0.59,0,26.22,0,0,0,6.88,0,0,0,0,12.6,1.05,28.06,0,1.09,0.66,2.27,0,0.91,0,0,0.75,3.5
 84-94,0,0.58,0,0,18.39,0,0,0,1.64,5.96,0,0,0,9.07,0,16.17,0,0,0,0.61,0,3.16,1.27,0.8,0,0
 96-106,0.81,0.58,0,0,26.58,0,0,1.14,3.06,0,0,0.87,2.32,2.82,0,11.17,0,0,0,1.65,0,0.84,0,0,0,0
108-118,0,0.54,0,0.82,7.29,0,0,0,7.23,0.71,0,0,1.29,9.3,0,4.84,0,0.95,0.67,0,0.75,2.98,1.18,0,0,0
120,0,1.51,0,0,6.12,0,0,0,5.01,0,0,0,0,3.62,0,15.74,0,0,0,22.19,0,0,0,0,0,0
