stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,8.71,30.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,0,0,17.51,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.63,0,1.49,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0.65,1.73,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.71,0,0,0,0,0.62,0,0,0,0,0,0,0.89,0,0,0,0,1.5,0,0.99,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,11.24,0,0,0,0,11.7,0,0,1.58,0,0,6.22,0,0,0,0,0,0
 72-82,0,0,0,0.72,0,3.81,0,0,0,0.73,57.31,0,0,0.66,0,1.24,1.82,0,15.35,1.07,0.76,0,0,0,4.99,0.78,3.28,0.76
 84-94,0,0,0,1.44,0,12.07,0,0,0.67,2.93,111.31,0,0,0,0,0.74,1.07,0,5.34,0,0,10.2,12.51,0,0,0,1.72,0
 96-106,0,0,0.95,0,6.08,26.8,1.33,0.58,0,0,290.01,0,0,0,1.31,7.33,5.73,3.7,31.31,0,0.6,7.6,6.07,0,0,0,2.34,0
108-118,0,0,0,0.52,1.73,10.91,0,0,0,2.34,447.12,0,0.43,0,0,28.09,4.87,0,29.21,0,0,2.11,8.65,0,0,3,0.49,0
120,0,0,0,0,14.31,20.13,0,0,0,0,288.41,0,0,0,0,12.31,3.56,0,53.1,0,0,0,4.74,0,0,0,0,0
