stage,endoderm,eye,mesenchyme,neural,spinal_cord
  7-9,0,0,0,3.31,0
 10-12,7,3.61,0,0,0
 24-34,0,0,0,0,1.47
 72-82,0,5.08,1.39,2.11,0
 84-94,0,1.9,1.88,0,0
 96-106,0,0,3.67,0,0
108-118,0,0.82,1.16,6.34,0
120,0,0,0,7.45,0
