stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,215.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.11,152.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.93,0,0,0,9.96,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.41,69.99,0,0,31.21,15.43,6.56,4.43,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.92,534.76,6.38,0,3.6,0,0,0,0,3.17,0,0,0,8.13,0,0,0,1.01,7.05,19.87,0,8.35,99.06,50.58,0,0,0,4709.78,0,4.37,0,14.08,5.79,24.24,0,0,0,0,0
 24-34,0,0,2.21,265.82,0,0,15.56,0.91,7.21,0,6.81,1.88,9.05,2.46,0,13,0,0,1.14,8.09,18.08,105.55,0.82,24.36,797.41,9.59,2.97,2.01,0,11185.49,0,0,0.91,8.01,1.98,36.09,0,0,23.01,0,0.89
 36-46,0,0,0.56,123.38,0,0,23.89,0,21.39,0,6.88,0,0,0,0,28.76,0,0,0,2.61,9.36,71.87,0,1.25,534.05,1.79,2.22,0.84,0,7158.43,0,0,0.6,0,0,43.25,0,0,10.27,0,2.11
 48-58,0,0,0,34.57,0,0,64.77,0,35.95,0.44,7.58,2.79,3.47,0,3.09,4.14,0.4,0,0,0,22.26,44.23,0,1.41,718.13,3.97,0,0,0,4234.06,0,0,0.52,0,0,90.87,0,3.07,3.49,0,1.47
 60-70,0,0,0,37.63,2.4,0,122.52,0,29.98,0,13.74,1.21,0,0,1.33,8.29,0,0.86,3.26,0,20.31,16.9,0,0.68,1126.98,0,0,6.8,0,2625,0,0,0,1.21,0,86.71,0,0,0,1.53,8.01
 72-82,0,0,0,19.72,0.61,3.55,224.12,0,14.13,2.25,22.22,0,0,1.25,0.54,0.88,0,0,0.99,0,18.91,6.73,0,0.63,1508.95,1.43,0,1.21,0,1194.71,0,0,0,0,0,34.63,6.8,0,0,1.22,3.16
 84-94,0,0,0,11.89,0,8.99,303.51,0,25.93,0,24.8,0.8,0,0,0,29.35,0,0.78,2.64,0,19.98,38.29,0,0.85,1385.6,1.12,0,2.01,0,4036.87,0,0,0.78,0.69,0,9.93,0,0,1.99,1.94,0
 96-106,0,0,0,15.2,2.02,23.41,191.33,1.8,6.75,5.51,24.67,3.56,0,0,1.7,18.63,0,0,5.08,0,18.4,14.43,1.14,2.64,1134.71,0.91,0,0,0,2058.01,0,0,0.9,0,0,22.21,0,0,0,2.49,0
108-118,0,0,0,3.95,0,75.1,215.06,0,15.69,1.48,4.25,0,0,0,0,46.08,1.02,0.72,13.67,0,19.81,55.53,0,0,1712.08,0,1.05,7.39,0,1170.02,0,0,0,0,0,8.01,0,0,5.2,6.43,0
120,0,0,0,18.31,0,30.16,292.97,0,31.71,0,32.27,0,0,0,0,0,0,0,7.51,0,24.22,16.89,0,4.13,2203.05,0,0,2.34,0,648.21,0,0,0,0,0,85.16,0,0,0,2.31,13.4
