stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,otic,pronephros,spinal_cord,vascular_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,6.69,0,11.78,0,0
 14-21,0.86,1.94,0,0,0,0,1.1,1.07,3.54,0,0,0,0
 24-34,0,0,1.24,0,0,0,0,0,15.49,0,0,0,0
 36-46,0,0.68,0,0,0,0,3.15,0,2.21,0,0,0,0
 48-58,0,0,0,0,0.94,0,0.99,0,9.14,0,0.53,0,0
 60-70,0,0,4.06,0,3.32,0,2.51,0,0.94,0,0,0,0
 72-82,0,4.1,0,0,0,0,3.96,0,2.82,2.21,0,0.68,0.9
 84-94,0,0.91,0,1.36,3.65,0,0,0.68,3.81,2.22,0,0,0
 96-106,0,0,0,0,0,0,0.85,0,0,0,0,0,0
108-118,0,0,0,0,0.93,3.55,5.47,0,0.91,0,0,0,0
120,0,0,0,0,0,0,2.75,0,0,0,0,0,0
