stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,iridophores,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,10.32,17.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,8.58,0,0,0,0,0,0,0,9.69,22.56,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,31.85,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,4.78,9.18,1.63,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,18.78,0,0,0,0,3.1,0,0
 36-46,0,0,0,0,0,0,3.91,0,0,0,0,0,95.27,0,0,0,0,3.26,0,0
 48-58,0,0,0,0,0.68,0.4,0,0,0,0,0,0.99,34.06,0,0,0,0,10.02,0.84,0
 60-70,0,0,0,0,3.85,0,3.55,0,0,0,0,0,86.05,0,0,0,0,2.19,0,0
 72-82,0,0,0,0,1.53,0,4.21,0,5.83,0,1.11,0,133.31,0,0,0,0,3.94,0,0
 84-94,0,0,0,0,5.68,0,2.52,0,0,5.31,0,0,167.85,0,0,0,0,0,0,0
 96-106,0,0,0,0.88,8.79,0,0,0,0,0,0,0,116.64,0,2.46,0,0,4,0,0
108-118,0,0,1.22,1.42,0,0,4.01,0,1.17,0,2.22,0,241.33,0,0,0,0,1.92,0,1.03
120,0,0,0,0,4.46,0,0,8.64,0,0,0,0,387.65,0,0,0,0,0,0,0
