stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,38.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0
  5-6,46.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,0,4.05,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16,0,0,0,0,0,0
 14-21,0,2.62,0,0,0,0,0,0,0,0,0,0,0.87,1.77,0,0,0,0,0,1.06,0,0
 24-34,0,26.06,0,1.04,0,0,0,0,0,1.69,0,0,0,5.33,0,0,0,0,0.66,2.94,0,0
 36-46,0,47.14,0.95,0,7.72,1.65,0,0,0,1.12,0,0,0,6.19,0,0,0,0,0,1.46,0,0
 48-58,0,60,0,2.01,6.37,1.13,0,0,0,0,1.26,0,0.4,21.01,0,0,0,0.42,0,1.68,0,0.9
 60-70,0,39.06,0,12.06,1.03,0,0,0,0,1.19,0,0,0,9.78,0,0,0,0,0,2.71,0,0
 72-82,0,31.34,0,8.94,0.64,0,2.8,0.52,2.78,2.98,2.49,1.12,0,14.67,0,0,1.47,0,0,4.97,0,0
 84-94,0,77.35,0.72,0.85,7.37,0,0,0,0,8.84,0,0,0,3.37,0,0,0,0,0,0,2.08,0
 96-106,0,55.49,0,0,1.22,0,0,0,0,18.13,5.55,0.6,0,16.13,0.59,0,1.96,0,0,0,0,0
108-118,0,93.41,0,1.71,9.6,0.54,0,0,0,9.65,4.3,0,0,7.65,0,0,0,0,0,0,0,0
120,0,114.01,0,15.57,19.51,6.49,0,0,0,5.65,6.86,1.05,0,7.08,0,0,0,0,0,0,0,0
