stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0,0,0,0,0,0,0
  7-9,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.52,0,0,94.48,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.37,0,0,168.19,6.67,0,0,7.28,0,0,0,0,0,0
 14-21,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,20.43,0,6.18,1.29,0,0,0,0,0
 24-34,0,0,0,0,0,1.71,0,0,0,0,0,0,4.09,0,0,0,0,1.86,13.47,0,23.95,0,1.15,0,0,0.73,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,13.38,0,0,0,0,0,15.63,0,20.2,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0.46,0,0,0,0,0,0,0.87,0,0,0,11.55,0,1.2,0,0,0,20.31,0,26.34,0,0,0,0,0,0.56,0,0,0,0,0
 60-70,0,0,0,1.57,0,1.96,0,0,0,0,0,0,38.99,0,12.96,0,0,1.55,11.41,0,97.78,0,0,0,0,0,2.08,0,0,2.77,0.59,0
 72-82,0,0,0,0.69,0,4.96,0,0,0,0,0,0,73,0,12.19,0,0,1.88,20.37,0,66.24,0,0,0,0,0,0,0,0,0,1.19,0
 84-94,0,0,0,0,0,0,0,1.79,1.69,0,0,0,87.95,9.73,13.8,0,3.91,2.77,11.44,0,124.08,0,5.38,0,0,0,0,0,3.86,0.97,0.63,0
 96-106,0,0,0,1.13,2.58,1.49,10.23,0,0.8,0,0.75,0,155.52,0,9.58,0,2.82,0,13.64,0,129.23,0,1.47,0,0.69,0,0,0,0,7.41,0,0
108-118,0,0,0,2.55,0,1.27,0,0,1.13,0.42,0,4.45,90.94,0,6.82,0.71,0,0,20.52,0,98.02,0,2.84,0,0,0,3.97,0.83,0,0.69,0,5.93
120,0,0,0,3.4,0,5.98,0,0,0,0,0,0,135.15,0,7.72,0,0,0,46.48,1.09,121.53,0,0,0,0,0,0,2.31,0,0,0,0
