stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,62.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.39,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,0,0,31.32,0,0,0,0,0,0,49.96,0,0,0,0,0,2.24,0,0,21.54,0,10.47,0,0,0,0,0,0,0.84,7.11,2.36,0,0,0,0,0
 24-34,0,1.26,0,0,111.04,0,0,0,0,0,0,90.71,0,0,0,1.14,2.13,3.12,0,1.2,315.8,0,117.97,0,0,0,0,2.17,3.76,0,1.73,39.56,0,0,1.63,0,0
 36-46,0,0,3.41,0,90.81,0,0,0.57,0,0,0,25.07,0,0,0,25.54,6.74,1.75,0,0.98,895.79,0,125.33,0,0,0,14.93,0,3.13,0,0,68.57,0,0,0,0,6.22
 48-58,0,0.44,6.71,0,240.09,0,0,0,14.34,0,0,10,0,1.69,3.95,25.54,25.23,0.51,0,2.5,1708.66,0,93.53,0,0,0,3.7,0,0,0,0,183.21,0,0.42,2.55,0,3.78
 60-70,0,0.57,0.72,0.79,311.65,0,3.8,0,5.14,0,0,1.08,0,2.15,0,0,48.66,0,0,0,1556.81,0,76.97,0.65,0,0,0,0,0,0,0,179.28,0,0,0.72,0.77,26.85
 72-82,0,1.65,5.47,9.49,472.74,2.89,0,0,17.58,0.85,0.59,3.24,17.34,14.76,0,4.43,53.25,0,1.08,3.81,1914.35,0,135.62,1.98,0,0,0,0,0,0,0,101.04,2.98,0,0.64,5.25,0
 84-94,0,2.33,4.28,0,644.84,0,0,0,19.59,3.68,2.08,18.66,7.93,6.79,1.64,1.01,47.14,0,1.04,5.71,1100.14,0,87.13,6.19,0,0,1.71,0,4.35,1.57,0,80.2,21.32,0,1.81,5.32,0
 96-106,0,2.08,9.93,5.26,923.84,0.71,0,8.54,38.26,0,10.4,5.6,3.6,21.61,15.77,1.53,36.38,0,10.96,8.15,859.53,0,144.71,4.53,0,0,7.87,0,0,0,0,20.37,12.79,0,0.59,0,22.56
108-118,0,2.91,16.63,2.8,1360.97,2.32,0.55,1.95,32.34,0,6.47,11.13,18.34,11.17,3.18,2.12,38.39,2.41,0,11.3,1048.21,0.55,118.67,10.2,0,1.22,5.05,0,0.43,0,0,52.87,11.55,0,1.36,5.59,0
120,0,3.46,13.87,0,850.83,0,0,1.47,28.13,7.98,22.06,13.91,30.33,22.89,0,0,61.13,4.3,0,4.9,1549.77,0,95.48,12.03,0,0,5.97,0,0,0,0,43.16,17.31,0,2.09,10.35,0
