stage,axial,epidermis,eye,fin_epithelia,gut,immune,mesenchyme,neural,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.36,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,6.24,0,0,0,0,1.79,0,0
 24-34,0,0,0.59,0,0,0.68,0,12.59,0,0,0,0.6,4.97,0,0
 36-46,0,0,1.91,0,0,0,1.14,5.36,0,0,0,0,3.87,3.1,0
 48-58,0,0,1.86,2.6,0,0,0,9.16,0,0,0,0,1.98,1.36,0
 60-70,0,0,8.12,0,0,0,6.29,21.53,0,0,0,0,8.48,0,0
 72-82,0,2.36,2.83,0,0,0,1.65,13.03,0,0,0,0,1.1,0.63,1.53
 84-94,0,0,10.82,0,1.87,0.79,1.08,10.31,0.8,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.65,0.7,2.5,0,0.65,1.24,0,0,0,0
108-118,0,0,0,0,0,0,0.6,2.47,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,18.08,0,0,0,0,0,0,0
