stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,34.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.1,0,0,0,0,81.1,0,0,0,0,0,9.06,0,0,0,0,0,0,176.75,0,0,0,46.45,0,0,0,0,0,0,0,0
 10-12,0,3.32,0,0,0,46.42,0,0,0,0,0,0,0,0,0,0,0,0,169.28,9.05,0,0,33.58,0,0,0,0,0,0,0,0
 14-21,0,0,1.87,14.55,2.66,29.71,0,0,0,1.24,0,0,0,0,0,11.02,0,9.15,267.75,0.83,0,0,3.73,0.96,24.72,1.44,2.58,78.38,40.47,0,0
 24-34,0,0,0,4.44,0,23.56,0,0,0.67,4.65,0.89,0,0,0,0.59,4.95,0.69,1.55,126.75,0,0,0.82,0,1.27,0,0.7,0,8.57,18.34,0,0.96
 36-46,0,0,0,0,0,8.12,0,0,0,3.87,0,0,0,0,0,5.67,0,1.33,42.46,0,0,0,0,0.62,0,0,0,0,9.15,0,0
 48-58,0,0,0,1.36,0,12.42,0,0,0,1.6,0,0,0,4.44,0,4.35,0,0.54,49.71,0,0,0,0,9.32,0,0,0,0,4.55,0,0.61
 60-70,0,0,0,0,0,58.03,0,0,0,1.77,0,0,0,0,0,2.08,0,0,36.86,0,0,1.41,0,3.12,0,0,0,0,4.21,0,0
 72-82,0,0,0,0.94,0,40.02,0,0,1.44,8.58,0,0,0,0,0,9.94,0.56,1.02,26.36,0,0,0,0,1.22,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,9.7,0,0,1.66,1.86,0.96,0,0,0,0,4.51,0,2.44,6.94,0,0,0,0,7.97,0,0,0,0,2.33,0.9,0
 96-106,0,0,0,3.31,0,13.94,0,0,1.05,0.72,0.96,0,0.78,0,0,11.13,0,5.19,18.57,0,0.69,0,0,4.64,0,0,0,0,0,0,0.97
108-118,0,0,0,1.44,0,18.39,0.44,0.55,0,7.89,0,0,0,0,0,8.23,0,3.97,21.33,0,1.57,0,0,0.64,0,0,0,0,1.9,0,0.8
120,0,0,0,1.41,0,1.2,0,7.36,3.08,0,0,0,0,0,0,21.2,0,0,10.44,0,0,0,0,2.69,0,0,0,0,0,0,0
