stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord
  5-6,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,20.39,5.44,0,8.47,0,0
 10-12,0,0,8.04,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.14,1.53,0.95,0,0,0,0,0
 24-34,0,0,0,0,0.75,0,0,0,17.2,0,0,0,0,5.71
 36-46,0,0,0,0,0,0,0,0,33.38,0,0,0,0,3.38
 48-58,0,0,0,0,4.63,0,0,0.43,26.01,0,0,0,0,1.73
 60-70,0,0,0,0,0,0,0,0,32.92,0,0,0,0,2.13
 72-82,0,0.68,0,0.58,14.46,1.45,0.61,0,50.97,0,0,0,0,3.99
 84-94,0,0,0,0,0,0,0,0,24.59,0,0,0,0,5.12
 96-106,0,0,0,0,0,0,0,0,27.79,0,1.4,0,0,0
108-118,0,0,0,0,5.43,0,0,0,37.08,0,2.89,0,0.5,4.19
120,0,0,0,0,0,0,0,0,27.54,0,0,0,0,0
