stage,blastomeres,epidermis,eye,fin_epithelia,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste
  3-4,11.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.04,0,0,0,0,0,0,0,0,0,5.04,0,4.25,0,0,0,0,0
 10-12,3.32,0,0,0,6.69,0,0,0,0,7.13,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.15,0,0,0,0,0,0,0,0,4.58,1.45,5.38,0.98,0
 24-34,0,0,0,0,0,0,0.62,0,1.39,4.06,0,0,0,2.25,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,9.27,0,0,0,3.8,0,0,0,0
 48-58,0,0.6,0,0,3.4,0,0,0,0,1.15,0.39,0.79,0,0,0,0,0,0
 60-70,0,0.57,0,0,0,0,0,0,1,0,0,0,0,9.78,0,0,0,1.44
 72-82,0,0.68,0,0,0,0,3.98,1.58,0,3.83,0,0,0,0,0,0,0,1.01
 84-94,0,5.04,0.84,0,0,0,0,0,0,2.03,0,0,0,14.2,0,0,0,0
 96-106,0,8.83,0,0.63,0,0,0.68,0,0,0.58,0,0,0,22.61,0,0,0,2.49
108-118,0,1.78,0,0,0,0,0.44,0,0,8.87,0,1.06,0,13.74,0,0,0,0
120,0,1.18,0,0,0,4.4,0,0,0,0,0,0,0,13.42,0,0,0,0
