stage,blastomeres,endoderm,epidermis,eye,gut,hatching_gland,mesenchyme,mucous,paraxial_mesoderm,periderm
  3-4,11.66,0,0,0,0,0,0,0,0,0
  5-6,7.04,0,0,0,0,0,0,0,0,0
  7-9,0,4.69,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.32,0
 14-21,0,0,0,0,0,0,0,0,0,1.01
 24-34,0,0,0,0,0,0,0,0,0,13.42
 36-46,0,0,0,0,0,0,0,0,0,8.37
 48-58,0,0,0.6,0,0,1.19,0,0,0,0.97
 60-70,0,0,0,1.22,0,0,0.88,0,0,12.01
 72-82,0,0,0.94,0,0,0,0,0.66,0,4.5
 84-94,0,0,0,0,0,0,0,0,0,10.58
 96-106,0,0,7.73,10.62,0,0,0,0,0,19.08
108-118,0,0,1.93,0,0.42,0,0,0,0,6.85
120,0,0,4.78,0,0,0,0,0,0,8.77
