stage,blastomeres,endocrine_pancreas,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vasculature
  3-4,68.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0
  5-6,92.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.77,0,6.91,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,4.37,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,10.52,0.92,0,0,0,2.45,2.59,0
 24-34,0,0.9,0,0,1.46,0,1.33,0,0,0,0,0,4.35,0,0,38.42,0.72,0,0,0,0,2.15,0
 36-46,0,0,0,0,15.4,0,0,0,0,0,0,0,42.22,0,0,90.2,0,0,0,0,0,9.19,0
 48-58,0,0,0,0,0.65,1.6,11.26,0,0,0,0,0,14.53,2.93,1.54,60.5,0,0,0,0,0,3.87,0
 60-70,0,0,0,0,18.26,1.96,69.75,0,0,0,25.02,0,1.67,2.41,0,31.2,1.05,0,0,0,0,6.89,0
 72-82,0,0,0.74,0,21.26,0,157.52,0.58,0,0.73,47.58,0,1.75,8.59,0,57.82,0.84,0,0,0,0,5.34,0
 84-94,0,0,0,0,9.17,0,107.86,0,0,0.58,13.68,0.83,3.66,8.07,0,29.93,3.68,0,0,0,0,2.19,0
 96-106,0,0,0,0,21.07,4.13,214.14,0,0.96,0,13.82,0,8.89,8.47,0,33.8,0,0,3.02,0,0,0,4.3
108-118,0,0.71,0,4.79,13.65,0,214.15,0.5,0,0.71,11.8,0,0.43,7.57,0,34.81,0,0,0,0,0,1.02,0.89
120,0,0,3.81,0,22,0,174.86,0,0,6.7,11.2,0,0,19.6,0,26.8,0,0,0,1.53,0,1.75,2.25
