stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,35.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0
  5-6,28.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,26.9,0,0,0,9.47,0,0,0,0,0,0,37.47,0,0,0,7.26,0,0,0,0,0,0,0
 10-12,5.06,0,5.29,0,0,26.73,0,0,0,0,0,0,0,0,0,0,107.77,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,4.66,0,0.85,6.79,0,0,0,0,0,0,2.53,7.27,0,0,0
 24-34,0,0,0,2.57,0,0.61,0,0,0.63,0,0,0,0,0.61,0,0,52.29,0,0,0,0,0,5.33,0,19.86,0,0,0
 36-46,0,0,0,0.9,0,0.66,0,0,0,0,0,0,0,2.27,0,0,133.78,0,0.75,0,0,0,2.38,0,21.22,0,0,0
 48-58,0,0,0,0.89,0,3.97,0,0.85,1.41,4.16,0,0,4.31,9.47,0,0,204.75,0,0,0,0,0,0.46,0,17.95,0,0,0
 60-70,0,0,0,0,0,76,0,0,7,0,0,0,2.89,16.38,17.58,2.65,431.26,1.87,0,0,0,0,0,0,51.48,3.46,0,5.19
 72-82,0,1.15,0,0,0,99.76,0,0,7.1,0,1.41,0,3.3,25.06,6.2,0.69,364.82,0,2.41,0,0,0,0.54,0,27.72,4.67,0,8.15
 84-94,0,0,0,0,0,58.1,0,0,6.8,0,2.12,0,2.95,35.37,5.81,0,234.12,0,0,2.25,0,0,0,0,23.5,1.38,3,10.97
 96-106,0,0,0,1.41,0,44.84,0,2.05,0,0,0,1.14,2.01,37.84,0.88,3.9,225.37,0,0,3.25,0,4.61,4.31,0,12.4,0.79,0,10.45
108-118,0,0,0,1.03,1.11,72.11,0,0,1.89,0,0,0,0.48,25.79,3.43,0.58,210.7,0,0,7.62,0,1.19,1.73,0,9.89,0,0,6.56
120,0,0,0,0,0,40.1,2.6,0,14.04,0,0,0,0,48.85,0,2.96,607.02,0,0,35.08,0,0,1.01,0,5.78,0,0,9.95
