stage,epidermis,eye,fin_epithelia,glial,ionocyte,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,slow_muscle,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,5.76,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0
 14-21,2.09,0,0,1,0,1.1,0,0,1.04,1.07,0.9,0,0,0
 24-34,0,2.07,0.71,0,1.29,0,0,3.19,2.42,0,0,0,1.27,0
 36-46,0,0,0,0,0,0,0,0.6,1.71,0,0,0,0,0
 48-58,0.47,0,0,0,0,0,0.53,0,0.95,0,0,1.48,0,0
 60-70,0,1.56,0,0,0,3.36,0,0,0,0,0,0,0.75,0
 72-82,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0.72
 84-94,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0
