stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,241.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.69,520.74,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,6.4,13.91,0,0,0,0,8.13,0,0,0,0,0,0,0,0,0
  7-9,22.12,0,0,32.42,0,0,0,95.15,0,0,0,0,0,15.91,0,0,0,0,0,0,0,0,0,0,0,558.83,4.58,0,0,191.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.63,0,30.48,0,0,0,49.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486.12,20.07,0,0,165.11,0,0,0,27.57,0,0,0,0,0,0,0
 14-21,0,0,0,0,11.46,25.14,0,15.95,0,0,0,6.33,0,0,0,0,0,0,0,0,8.86,12.6,0,0,8.17,187.22,1.73,0,1.09,5.58,0,0,12.75,0.89,15.81,76.04,0,0,0.85,0,9.86
 24-34,0,0,0,1,24.46,4.01,0,26.66,0,0,1.56,15.41,0.91,0,2.49,0.67,0.72,0,0,0,8.75,42.22,0,0,13.52,426.45,3.55,0,1.34,0,0,5.65,0,0.65,2.2,98.52,0,0,11.68,0,15.05
 36-46,0,0,0,0,3.65,1.98,0,34.61,0.87,14.7,2.27,38,0,0,2.8,0.81,3.45,0.56,1.61,0.71,2.68,48.93,0,0,8.51,488.77,0,0,6.45,0,0,0.84,4.14,0,0,177.81,0,0,17.72,0,19.81
 48-58,0.39,0,0,0,16.59,3.67,0,114.98,1.63,1.61,2.14,79.06,0,0,0,1.6,0.93,4.8,0.5,2.25,12.24,71.41,1.46,2.16,10.19,632.21,1.03,2.13,14.96,0,0,6.53,0,0,0,142.46,0,0,11.99,0,11.45
 60-70,0,0,0,0,28.12,20.67,0,269.25,0,0,1.21,71.37,0.99,0,0,0.64,0.92,7.71,0,0,5.04,100.54,3.18,4.49,13.29,865.46,0,0,6.37,0,0,10.53,0,0,0,125.59,0,1.65,11.16,0.98,13.04
 72-82,0,0,0.76,0,17.92,89.07,1.04,286.33,0,0.68,13.17,117.47,4.41,0,4.1,8.08,6.79,0.54,0.79,0.62,4.12,152.2,1.75,4.89,9.38,777.14,1.43,3.34,12.93,0,1.78,1.19,0,2.62,0,76.44,0,6.87,22.02,6.9,11.32
 84-94,0,0,0,0,23.1,132.71,0,217.27,0,10.88,3.47,68.75,0,0,0,6.05,1.41,4.02,2.48,0,8.73,155.67,0.98,10.36,9.5,457.63,1.14,0,15.59,0,0,16.11,0,0,0,82.45,0.78,1.99,25.08,11,15.26
 96-106,0,0,0,0,21.79,139.28,0.71,161.68,6.83,1.16,8.48,82.06,7.05,0,4.82,5.27,5,6.09,0.58,10.14,4.7,106.78,1.6,4.8,6.31,495.09,0,2.39,11.92,10.66,0,9.24,0,1.93,0,42.17,2.03,2.43,22.51,4.25,26.4
108-118,0,0,0,0,45.72,88.19,8.63,235.45,1.56,17.03,1.07,128.29,10.04,0,1.79,5.05,3.41,9.4,1.24,3.5,6.13,105.64,0,11.73,11.33,653.33,3.41,1.3,5.61,0,6.59,3.58,0,1.44,0,13.9,1.89,3.6,21.24,8.31,19.9
120,0,0,0,0,39,57.01,0,136.69,3.6,8.81,0,125.45,0,0,0,22.3,2.42,16.52,0,0,0,115.54,0,2.22,5.21,754.33,3.3,10.74,11.51,0,13.66,6.31,0,4.05,0,22.44,2.83,5.29,62.46,25.01,2.59
