stage,blastomeres,epidermis,erythrocytes,eye,glial,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,35.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.72,0,0,0,0,0,0,0,0,12.86,0,0,0,12.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,8.09,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.63,0.82,0.87,0.83,0,0,0,0,0.91,0,5.72,7.37,2.09,0,0,0,0,1.29,0,0,2.59,9.05,0,0
 24-34,0,0,0,3.64,0,0,0,0,0,2.53,0,0.84,25.58,0,0,0.62,0,0,0,0,0,0,3.74,1.13,0
 36-46,0,1.7,0,1.15,0,0,0.6,0,0,0,0,2.32,35.19,0,0,0,0,0,0,0,0,0,8.37,0,0
 48-58,0,0.41,0,7.28,1.65,0.39,0,0,0,4.15,0.88,0,34.5,1.03,0,0,0,0,0,0,0,0,4.55,0,0
 60-70,0,0,0,1.88,4.36,0,0,2.11,0,13.63,0,0,23.49,0,0.89,0,0,0,0,0,0,0,3.22,0,0
 72-82,0,0,0,7.34,0,0.9,0,0,0,3.75,0,0,15.25,0,0,0,0,0,0,0,0,0,2.19,1.08,0.89
 84-94,0,0,0,6,1.52,0,0,0,0,3.16,0,0,14.05,0,0,0,0,0,0,0.94,0.61,0,0.65,4.14,0
 96-106,0,0,0,0.74,0,0,0,0,0,3.29,0,0.67,2.49,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.32,3.75,0,0.92,0,2.1,1.78,0,0,20.95,0,0,0,0,0,0,0,0,0,0,0.42,0
120,0,0,0,8.34,0,0,4.72,0,0,0,0,1.93,0,0,0,0,0,12.08,0,0,0,0,0,0,0
