stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,425.99,8641.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.95,0,0,0,0,0,0,0,0,0
  5-6,582.09,7060.75,0,10.26,0,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,307.1,7.94,0,46.23,0,118.77,0,0,0,0,0,0,0,0,0
  7-9,97.04,61.4,0,123.31,0,0,0,262.09,0,0,0,0,118.37,0,0,0,0,0,0,0,2455.31,95.66,0,732.55,0,30.3,38.41,0,0,0,0,0,0,0,0
 10-12,0,33.36,0,40.44,0,44.47,0,56.54,0,0,0,0,14.19,0,0,0,3.73,0,0,0,504.74,27.82,0,158.15,0,10.72,27.55,0,33.55,0,0,0,0,0,0
 14-21,0,0,0,5.35,512.41,51.22,0,1.06,0,0,0,17.05,0,5.49,0,7.39,8.82,204.41,0,40.46,87.74,0.83,0,0.87,0,15.49,7.51,1.84,0.99,0.88,1.9,5.85,0,0,0
 24-34,0,0,0.65,3.32,94.37,0,0,1.39,0,0,0,1,0,6.97,0,0,6.38,69.47,0,18.51,11.08,0,0.76,0,0,5.29,1.29,0,8.16,0,0,3.51,1.15,0,0
 36-46,0,0,0,0.78,0.61,0,0,0,0,0,0,0.67,0,0.95,0,0,1.62,19.98,0,2.19,9.97,0,0,0,0,0,0.81,0,5.5,0,0,0,0,0,0
 48-58,0,0,0,1.07,0.41,0,0,0,0.82,0,0,0.45,0,9.16,0.4,0,1.68,19.94,0,0,2.25,0,0,0,0,1.78,0,0,3.88,0,0,2.57,0,0,0
 60-70,0,0,0,0,0.71,0,0,0,0,0,0,0.91,0,0,0,0,0.81,11.41,0,0,1.74,0,0,0,0,0,0,0,7.82,0,0,0,0,0,0
 72-82,0,0,0,0.62,0,0.83,0.86,0.52,0,1.27,0,39.57,0,0,0,0,0.79,7.19,0.7,0.66,2.89,0,0,0,0,0,0,0,8.96,0,0,0,0,1.42,0
 84-94,0,0,1.05,2.51,0,0,6.33,4,0,9.6,0,22.83,0,0,1.57,0,0.89,4.98,0,0,0,0,0,0,3.48,0,0,0,13.99,0,0,0,0,0,0
 96-106,0,0,0.87,5.65,0,0,0,0,0,0,0,32.44,0,4.11,0.61,0,6.66,6.61,0,0,5.12,0,0,0,0,0,0,0,7.23,0,0,0,0,0,0
108-118,0,0,1.35,5.88,0,0,0.49,0,0,0,2.14,13.28,0,0,1.71,0,8.04,2.94,0,0,3.87,0,0.91,0,0,0,0,0,15.57,0,0,0,0,0,5.62
120,0,0,6.01,1.66,12.89,0,0,0,0,0,0,11.36,0,1.15,0,0,8.57,2.53,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0
