stage,blastomeres,epidermis,eye,glial,liver,mesenchyme,neural,paraxial_mesoderm,vasculature
  3-4,20.51,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,14.3,8.69,0
 10-12,0,0,0,0,0,0,0,4.4,0
 24-34,0,0,0,0,0,0.97,0,0,0
 48-58,0,0,0,0,2.23,0,4.33,0,0
 60-70,0,0,0.88,0,0,0,1.17,0,0
 72-82,0,4.66,0.69,0,1.73,1.59,1.39,0,0
 84-94,0,0,0,0,0.57,0,0,0,0
 96-106,0,1.45,8.99,1.33,7.45,0.61,5.39,0,1.05
108-118,0,0,9.23,0,10.61,0,11.72,0,0
120,0,0,0,0,22.34,0,8.23,0,0
