stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,603.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.66,1236.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.3,0,0,0,40.55,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,41.75,51.74,0,69.4,0,0,49.68,0,0,0,0,34.2,0,0,0,0,0,0,0,0,0,0,0,684.6,33.33,0,0,259.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.11,0,35.03,0,5.18,48.99,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0,569.89,35.68,0,0,230.99,0,0,0,13.94,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.32,91.21,13.96,16.36,0,0,17.67,5.14,0,0,0,5.68,0,0,0,0,30.35,0,0,16.78,452.95,15.97,2.83,8.16,17.65,0,4.58,62.93,6.01,1.61,46.66,127.67,0,0,3.54,0,0
 24-34,0,0,0.65,0.62,5.1,3.33,19.47,0,0,13.72,0.61,0,0.62,0,0,0.92,0,0,0,31.13,0,0,9.83,272.56,0.6,5.87,0.79,0,0,0,0.93,0,0,2.83,62.58,0,0,14.77,0,0.86
 36-46,0,0,0,0,3.84,0.67,60.66,1.15,5.62,6.67,0.56,0,0,0,0,12.95,1.7,2.52,3.76,56.35,0,0.74,15.88,351.09,0,22.43,0.72,0,0,1.28,0,0.72,0,0,68.22,0,0,4.17,0,0
 48-58,0,0,0,0,12.87,2.22,151.09,0,3.29,27.07,0,0,0.55,0.49,0,4.12,1.1,0,0,72.87,0,4.4,14.12,417.5,0,21.66,1.88,0,0,0.92,0,0,0,0,64.78,0,0.4,13.17,0,0
 60-70,0,0,0,0,11.15,0.57,207.36,0,2.4,11.77,1.76,0,1.07,0,0,0.98,0.63,0,0,77.3,0,3.29,7.63,466.59,3.11,10.03,0.81,0,0,1.57,0,0,0,0,45.16,0.81,1.06,9.27,0,6.71
 72-82,0,0,0,0,1.12,13.67,69.48,0,2.29,15.28,0,0,0,0,0,0,0,0,0,36.6,0.77,0,3.28,216.47,0.62,19.42,5.16,0,0,0.51,0,0,0,0,15.59,0,0,9.36,0,5.14
 84-94,0,0,0,0,3.27,1.28,23.16,0,0,12.33,0,0.77,0,1.11,0,0,1.52,0,3.66,24.99,0,0.66,6.39,49.11,0,6.42,0,0,0,0,0,0,0,0,16.16,0,0,10.35,0,0
 96-106,0,0,0,0,3.08,13.18,31.55,0,0,4.78,0,0,1.78,5.2,0,0,1.11,0,0,42.52,0,0.85,1.43,52.55,0,11.91,0.9,0,0,0,0,0,0,0,0.68,0,2.02,12.67,1.16,0
108-118,0,0,0,0,3.56,3.48,36.7,0.42,0,1.23,3.66,0,0,0.63,0.56,0,0.43,0,0,26.32,0,0,0,78.19,0,11.77,0,0,1.8,0,0,0,0,0,0,0,0,7.37,0.6,1.71
120,0,0,0,0,1.13,5.75,38.57,1.55,4.93,13.45,0,0,0,1.87,0,0,4.65,0,0,27.85,0,20.34,2.2,230.72,0,55.41,0,0,0,1.08,0,1.22,0,0,17.55,0,0,21.61,0,2.85
