stage,eye,neural,spinal_cord
 36-46,0,1.05,0
 48-58,0,6.58,0.95
 60-70,3.09,11.41,0
 72-82,2.65,1,0
 84-94,0,0,1
108-118,0,3.82,0
120,3.37,4.97,0
