stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,1.41,5.85,9.49,3.06,0,15.82,0,0,1.71,0.81,4.67,0,0,0,0,0,4.61,0,0.95,134.23,2.18,0,3.04,2.06,3.32,0,2.61,0.82,2.56,35.63,0,0,1.09,0
 24-34,0,0.71,6.44,0,0,18.06,0,1.71,2.44,3.03,0,0,0,0,0,0.65,2.66,0,3.87,139.28,0.68,1.65,0.63,0,2.16,0,0,0,0,27.69,0,0,0.79,0
 36-46,0,0,5.28,0.6,0,18.39,0.68,0,7.56,0,0,0,0,0,0,0,2.51,0,1.73,87.31,0,0,1.56,0,8.45,0,0,0,0,21.47,0,0,0,0
 48-58,0.68,0,0.97,0,0,25.23,0,0,9.08,0,0,0.94,0,0,0,1.61,16,0,3.16,55.93,0,0,0.42,0,0.71,0,0,0,0,16.01,0,0,0,0
 60-70,0,0,0,0,0,71.77,0,0.64,14.98,1.92,0,0,0,0,1.55,0.87,10.07,0,1.2,76.98,0,0,2.42,0,1.44,0,5.3,0,0,3.47,0,0,0,0
 72-82,0,0,4.75,0,0,155.56,10.05,0.6,17.67,2.17,0,0,0.51,0,2.71,0,20.39,3.26,2.02,72.17,0,0.53,0,0,4.6,0,0,0,0,2.53,0.92,0,0,0
 84-94,0,0,6.9,0,0,169.83,0.56,0,21.66,1.21,0,0,2.35,9.13,0.67,0.64,5.57,2.05,1.22,70.88,0,1.11,0,0,4.9,0,0,1.35,0,3.34,1.31,0.84,0,0.62
 96-106,0,0,10.32,3.29,1.12,305.03,1.91,0,11.63,0,0,0,1.29,1.72,0,0,10.52,0,0.78,41.58,0,5.27,6.54,0,15.39,0,0,0,0,11.22,0,0,0.65,0
108-118,0.71,0,6.51,0,2.95,398.38,2.31,0,36,3.64,0,0,1.48,0,5.27,0,14.52,0,3.5,95.94,0.55,1.96,0.63,0,4.23,0,0,0,0,0.63,0,0,0.42,0
120,0,0,14.12,0,0,634.38,4.27,0,45.75,1.32,0,0,3.35,0,0,0,2.16,0,2.09,126.74,0,0,0,0,4.9,2.5,0,0,0,0,0,0,0,0
