stage,endocrine_pancreas,epidermis,eye,glial,gut,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  5-6,0,0,0,0,0,0,0,13.67,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.69,0,0,0,0
 10-12,0,0,7.98,0,0,0,0,16.28,0,4.16,0,0,0,0
 14-21,0,0,0,0,0,0,0.8,0.81,0.94,0.8,0,0,0,0
 24-34,0,0,0,0,0,2.28,0,2.77,0.6,0,0,0.61,2.41,0
 36-46,0,1.03,0,0,0,5.11,0,21.01,0,0,0,0,2.61,0
 48-58,0,0,0,3.02,0.91,6.93,0,1.1,4.97,0,0,0,1.91,0
 60-70,0,0,0,0,0,3.89,0,21.29,0,0,0,0,0,0
 72-82,0.91,0.49,6.36,0.68,0.72,1.75,0,16.5,0,0,0,0,1.58,0
 84-94,0,0,0,0,0,0,0,2.49,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.71,0,0,0,0,1.17,0,0,0
108-118,0,0,1.54,1.29,0,1.19,0,18.08,0,0,0,0,0,0
120,0,1.74,2.42,0,0,0,0,40.45,0,0,0,0,0,1.26
