stage,blastomeres,epidermis,eye,glial,gut,ionocyte,iridophores,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0
  5-6,6.15,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,24.48,0,7.87,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,14.21,0,0,13.76,0,0,6.86,0,0
 14-21,0,1.88,0,15.04,0,0,0,0,0,0,0,0,0,0,0,14.76,0,20.29
 24-34,0,0,0,6.67,0,0,0,0,0,4.34,0.78,0,0,0,0,8.4,1.22,16.86
 36-46,0,0,0,5.13,0.61,0,0,0,3.1,4.6,0.7,0.8,0,0,0,0,0,14.57
 48-58,0,0,0.67,18.67,0,0,0,0,0,5.79,4.45,4.68,0,0,0,2.02,0,13.12
 60-70,0,0,0.89,17.34,0,0,0,0,0,16.58,4.02,0,0,0,0,9.11,0,13.78
 72-82,0,0,0.95,16.07,0,0,0,1.05,0,3.5,3.79,0,0,0,0,1.43,0,16.28
 84-94,0,0,0,30.94,0,0,0,0.65,0,0.56,3.02,0,0,0,0,0.93,0,8.8
 96-106,0,0.7,1.41,13.58,0,0.81,0,0.58,0,0,12.83,9.12,0,0,0,0.82,0,12.86
108-118,0,0,1.15,8.32,0,0,0.55,1.87,0,2.89,0,3.59,0,0,0,0.78,0,8.72
120,0,1.85,2,30.6,0,0,0,0,0,0,0,1.05,0,0,0,3.24,0,2.78
