stage,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,muscle,neural,olfactory,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,1.08,0.89,0,0,0,3.33,0,0,0.87,2.12,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.41,1.26,0,0,0.88,0.64,0
 36-46,0.93,0,0,0,0,0,0,0,0,23.9,0,0.83,0,2.46,0,0
 48-58,1.21,0,0,0.38,0,0,0,0.62,0,17.39,0,0,0,8.09,0.62,0
 60-70,5.25,0,0,0,0,0,1.9,2.85,0,28.91,0,0,0,3.46,0,0
 72-82,1.66,0,0,0,0,0,0,1.59,0,10.45,0,0,0,0.53,0,2.08
 84-94,1.32,0,0,1.14,0,0,0,0,0,6.05,0,0,0,0,0,0
 96-106,13.18,0,0,0,0,0,0,5.59,0,10.11,0,0,0,0,0,0
108-118,5.53,0.96,0,0,0,0,0,0.81,0,21.21,0,0,0,0,3.7,0
120,15.18,0,3.1,0,0,0,5.97,18.66,3,18.51,0,0,0,0,18.73,0
