stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,22.22,306.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.98,193.58,0,0,0,0,0,0,0,0,0,0,0,0,20.7,0,0,6.56,0,0,0,0,0,0,0,0
  7-9,0,6.05,0,0,3.73,0,0,0,0,0,0,0,0,0,102.94,3.71,0,21.28,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.83,0,0,26.41,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,2.03,2.66,0,0,2.74,0,0,0,8.33,0,0,25.45,0,0,0,0,2.11,0.86,0,5.41,2.34,0,0
 24-34,0,0,0,0.79,2.26,0,0,3.05,0,0,0,3.59,0,0.61,43.74,0,1.18,0,0.6,0,0,0,0.73,8.83,0,4.99
 36-46,0,0,0,1.25,0.6,0,0,1.62,0,0,0,0.56,0,0,19.11,0,0,0,4.26,0,0,0,0,3.49,0,0
 48-58,0,0,0,0,5.24,0,0,0.92,0,0,0,3.26,0,0,17.42,0,0,0,7.2,0,0,0,0,3.23,0,0.73
 60-70,0,0,0,0,9.88,0,0.98,1.78,0,0,0,2.28,1.53,0,23.98,0,0,0,0,0,0,1.8,0,1.97,0,0
 72-82,0,0,0,0,7.93,0,0,2.16,1.92,0,0,4.89,0.74,0.67,6.71,0,0,0,1.9,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.17,0.97,0,0,0,0,0,5.13,0,0,2.82,0,0,0,8.48,0,0,0,0,0,0.61,0.59
 96-106,0,0,0,2.75,1.87,0,0.99,5.27,0,0.68,0,4.94,0,0,1.19,0,0,0,6.11,0,0,0,0,1.03,0,0
108-118,0,0,0,2.22,2.15,0.81,0,4.88,0,0,0.43,2.39,0,1.42,7.88,0,0,0,0.98,0,0,0,0,0,0,0
120,0,0,0,0,2.45,0,0,7.34,0,0,0,33.05,0,0,5.58,0,0,0,0,0,0,0,0,0,0,0
