stage,epidermis,eye,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,neural,periderm,vasculature
 24-34,0,0,0,0,0,0,0,12.6,0,0,3.43,0,0
 36-46,0,0,0,0,0,25.93,0,0.93,0,0,0,0,0
 48-58,0,0.72,0,0,0,31.15,0,1.04,0,0.46,0,0.37,0
 60-70,0,0,0,0,0,47.63,0,26.9,0,0,0,0,0
 72-82,0,1.82,0.66,0,0,111.58,0,20.88,0,0,3.04,0,0
 84-94,0,0.58,0,0,0,138.04,0,0,0,0,0,0,0
 96-106,1.45,0,0.93,0,0,173.5,0.79,3.68,0,0,1.29,0,3.09
108-118,0,2.35,1.34,0.91,2.64,138.83,0,5.75,1.26,0,1.31,0,0
120,0,0,0,0,0,311.57,0,3.73,10.62,0,0,0,0
