stage,blastomeres,epidermis,eye,fin_epithelia,glial,immune,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,16.24,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.55,0,0,0,0,4.18,4.79,0,4.06,0,0,0
 10-12,0,0,0,0,0,0,0,12.63,0,0,22.47,0,0,0
 14-21,0,0,0,0,0,0,0,29.91,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,13.53,0,0,0,0,0,0
 36-46,0,0,0,6.72,0,0,1.37,12.72,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0
 60-70,0,0,1.5,0,2.26,0,0,22.83,0,0,0,0,0,0
 72-82,0,0,5.05,0,0,0,0.9,34.03,0,0.52,0,0,2.5,3.72
 84-94,0,0,0,0,0.75,0,0,23.42,0,0,0,0,0,0
 96-106,0,1.93,10.45,0,1.23,0,0,22.61,0,0,0,1.81,0,0
108-118,0,0,0.45,0.91,1.17,0.79,0,63.53,0,0.82,0,0,0,0
120,0,0,0,1.13,1.08,5.02,0,69.15,0,0,0,1.12,0,0
