stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0,0,0,0
  5-6,7.01,21.49,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,11.56,0,0,7.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,0,1.81,0,0,0,0,0,0,0,0,0,0,1.05,0,0,6.49,0,0,0,0,0,1.33,0,13.05,0,0,0,0,0
 24-34,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,161.3,0,0,0,0,0,0,0,133.95,0,0,0,0,0
 36-46,0,0,0,0,0,3.87,0,1.98,0,0,0,0,0,0,0,0,1.57,0,0,269.56,1.26,0,0,0,1.42,0,0,140.49,0,0,5.63,0,0
 48-58,0,0,0.68,0.41,0,8.56,0,3.5,0,0,0,0,0,0,3.29,0,0,0,0,510.14,0.88,0,0,0.46,0,0,0,189.77,0,0.61,0,0,0
 60-70,0,0,0.9,0,0,104.83,0,0.98,0,0,0,0,0,2.88,0,0,1.93,0.89,0,782.22,0.72,0,0,0,0,0,0,203.2,0,0,0,0,0
 72-82,0,0,0.5,0.8,0.52,297.85,0.82,8.55,0,0,0,2.57,0,0,4.11,0,7.69,1.2,0,879.9,3.21,0,0,0,0,0,0,84.31,0,1.01,4.04,0.79,0
 84-94,0,0,2.98,0.64,0,230.63,0,13.17,0,0,0,0,1.56,0,0,0,14.12,1.94,0,480.09,0,0,0,0,0.56,0,0,95.56,0,6.16,0,1.4,1.99
 96-106,0,0,0,1.22,4,219.42,1.65,7.63,0.85,0,0.9,0,0,0.75,0,0.65,10.36,0.7,0,537.16,0,1.78,0,2.9,2.27,0,0,46.45,4.97,2.06,0,1.24,0.85
108-118,0,0,0,3.52,0,221.38,0,1.32,0.43,0,0,0,0,0.41,0,0.59,4.61,1.03,4.55,578.59,3.7,0,0,0,0,0,1.48,18.45,0,0,0,2.64,1.86
120,0,0,0,0,0,207.86,0,0,0,0,0,0,0,0,0,0,3.81,0,0,464.09,0,0,0,0,0,0,0,38.8,0,1.54,0,17.64,0
