stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,197.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.92,59.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.62,0,0,0,0,0,0,0,0,0,0,0,31.94,0,0,0,9.42,0,0,0,0,0,0,0,0,0
 10-12,0,16.1,0,0,0,0,0,0,0,0,0,0,0,15.52,0,0,0,12.37,0,0,0,15.37,0,0,0,0,0
 14-21,0,0,0,1.07,0,0,0,0.85,0,0,0,0,0,15.21,0.82,0,0,0,0,0,2.51,0,3.86,5,0,0,0
 24-34,0,0,0,0,0.8,0,0,0,0,0,0.67,0,0,10.85,0,0,0,0,0,0,0,0,0,3,0,1.08,0
 36-46,0,0,0,0,1.85,0,0,0,0,0,2.14,0,0,24.77,0,0,0,0,0,0,0,0,0,5.99,0,0,0
 48-58,0,0,0,0,6.9,1.17,0,0,0,0,1.94,0,0.54,10.33,0,0,0,0,0,1.97,0,0,0,0.85,0,0,0
 60-70,0,0,0,0,0.6,0,0,4.2,0,0,1.17,0,0,15.4,0,0,0,0,0,0,0,0,0,5.08,0,0,0
 72-82,0,0,0,0,4.23,0,0,0,0,0,5.37,1.1,1.35,18.42,0,1.59,0,0,1.31,0,0,0,0,3.08,0,0,0
 84-94,0,0,0,15.94,9.95,0,0,0,0.84,0,5.67,0,0,13.02,1.35,0,0,0,0,0,0,0,0,0,0.83,0,0
 96-106,0,0,1.29,0,7.82,0,1.09,4.59,0,0,0.85,0,0,3.91,0,0.74,3.59,0,0,0.71,0,0,0,0,0,3.57,0
108-118,0,0,2.09,0,19.08,0.54,0,0,0,0.72,1.54,0,1.49,14.6,0,0,0,0,0.86,0.57,0,0,0,0,0,1.21,1.33
120,0,0,0,2.17,10.18,0,0,7.24,5.34,2.56,9.03,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0,0
