stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.33,457.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0
  5-6,17.85,251.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.81,0,0,0,18.94,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.08,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,22.26,0,0,0,4.16,0,0,0,0,0,0,0,0
 10-12,0,8.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.59,0,0,0,3.3,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.09,19.03,1.36,0,2.75,0,0,0,0.92,0,0,0,0.8,0,0,0,0.83,0,0,0,13.18,0,0,0,10.3,3.86,0,2.1,0,0,2.9,0,0
 24-34,0,0,0.65,0,22.9,0,0,3.98,5.17,0,1.19,0,0,0,0,1.42,0,2.27,0,2.06,0.79,0,0,35.62,1.38,1.18,1.74,55.51,0.98,2.01,11.92,0,0,9.42,0,0
 36-46,0,0,0,0,10.65,0,0,2.95,5.97,0.82,7.74,0,0,5.59,6.68,0,0.61,1.68,0,6.13,5.33,1.26,2,28.71,0,0,0.57,86.05,0.78,4.09,6.93,0,0,5.41,0,0
 48-58,0,0,0,0.43,25.42,0,0,14.08,5.26,0.44,13.97,0.38,0,0.93,4.83,4.47,0,1.43,0,10.08,1.17,0,2.63,31.26,0,0,2.36,47.81,0,0.53,9.26,0,0,1.89,0,0
 60-70,0,0,0,0,14.94,0,0,6.08,10.42,0,18.29,0.62,0,2.85,10.57,0,0,2.72,0,14.36,1.53,0,1.85,8.72,0,0.83,3.92,55.3,0,0,3.89,0.61,0,1.4,0,3.09
 72-82,0,0,0.78,0,12.59,0.6,0,2.2,5.1,0,25.61,1.61,0,0.75,7.96,1.21,0,1.09,3.89,27.64,0.66,0,4.68,10.39,0,0.56,6.12,30.96,0,1.7,5.96,5.46,0,16.63,2.06,8.52
 84-94,0,0,1.95,0,29.63,0,1.93,10.52,15.92,0,12.39,9.44,0,2.01,17.05,4.93,0.57,0.81,1.7,17.19,6.74,0.72,2.24,8.22,1.8,3.71,9.57,114.37,0,1.32,2.9,2.42,0,18.9,0,0
 96-106,0,0,1.72,0,51.09,0,0,7.02,6.8,0.97,11.17,17.62,0,0.71,13.6,0.85,0,5.45,1.22,28.18,3.77,1.43,2.76,24.65,0.81,1.55,2.75,71.11,0.64,0.63,2.29,4.38,0,17.07,1.94,0
108-118,0,0,0,0,48.35,1.03,0,5.5,11.56,0,27.78,11.3,0,0.61,14.39,3.17,0,7.3,1.32,24.76,8.16,0,0,20.3,0.42,0,2.86,47.51,0,1.06,0,2.54,0,24.83,0,0.59
120,0,0,0,0,55.4,0,0,1.33,13.29,0,12.41,14,0,0,8.42,1.51,0,3.84,19.08,9.48,1.47,2.03,0,28.07,0,3.86,9.8,37.39,0,0,0,17.2,7.86,31.36,0,0
