stage,blastomeres,epidermis,erythrocytes,eye,glial,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  5-6,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,8.35,0,0,0,0,0,0,0
 10-12,0,0,0,3.35,0,0,0,0,22.98,0,0,0,0,0,0,0
 14-21,0,1.25,2.13,0,1.02,0,1.14,8.93,8.45,0,0,0,1.08,1.68,0,0
 24-34,0,0,0,1.99,0,1.49,0.61,0,26.07,0,0,0.62,0,0,1.18,0
 36-46,0,0,0,1.37,1.02,0,1,0,9.36,1.19,0,0,0,0,0.76,0
 48-58,0,0,0,2.12,0,0,0,0,8.85,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.31,0,0,0,0,0,1.2,0,0,0,0,0
 72-82,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.82,0,0,0,3.99,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0.51
120,0,0,0,1.42,0,0,2.3,0,1.79,0,0,0,0,0,8.94,0
