stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.07,0,0,0,4.92,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.45,0,0,0,8.22,0,8.3,0,0,0,0,0,0,0
 14-21,0,0,0.8,0,0,0,0.95,1.35,0,0,0,0,0,0,0,71.01,0,0,0,2.65,0,0,0,1.21,62.32,0,0,0,0
 24-34,0,4.13,0,0.65,0,0,1.43,0,0,0,0,0,1.57,0,0,793.15,0.62,0,0,0,0.93,0,0,0.75,100.79,0,0,0,0
 36-46,0,16.05,0,1.56,0,0,0,0,0,0,0,6.31,10.97,0,2.24,2242.96,0,0.59,0,0,5.09,0,0,0,170.39,0,1.16,0,0
 48-58,0,2.33,0,48.89,0,0.82,26.55,0,0,0,0,0,13.58,2.52,1.92,2240.56,0.38,0,0,0,3.87,0,0,0,230.03,0,2.18,0,4.61
 60-70,0,4.16,1.18,47.34,0,0,12.61,0,0,0.65,0.63,0,11.99,2.08,4.66,1841.1,0,0,0.62,0,11.72,1.17,0,0,271.94,0,1.82,0,0
 72-82,1.28,15.15,0.88,66.33,0,4.06,5.57,0,0,1.17,0,0,29.21,0,0,914.16,0,0,0,0,0,1.87,0,0,132.36,0.61,1.27,1.19,0
 84-94,0,5.81,3.6,35.2,0.68,7.94,8.62,4.04,2.33,0.82,0,1.61,14.8,0,0,443.49,0,0,0,0,0,0,9.21,0,39.84,0,0.97,0,0
 96-106,0,0.93,0,15.22,0,1.02,3.57,0,0,1.33,0,5.88,18.6,0,0,298.79,0,0,0,0,1.19,0,0,0,25.94,0,2.1,0,9.66
108-118,0,0.58,1.64,12.84,0,0,10.33,0.56,0,0,0,4.07,13.31,0.74,1.21,504.85,0,0.7,0,0,0,0,0,0,50.46,2.03,0,0,0
120,0,0,0,28.14,0,0,5.12,0,7.84,0,0,0,8.18,0,1.82,700.67,0,0,0,0,0,0,0,0,29.42,0,0,0,0
