stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,24.95,0,0,0,0,0,0,0,0,0,0,35.8,0,0,0,0,0,0,0,0,0,0,0,4.89,29.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,69.27,0,0,0,0,0,0,0,0,0,0,0,57.79,39.86,0,0,5.41,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,39.96,0,0,0.88,0,0,0,1.21,1.66,2.96,0,0,0,0,0,0,0,7.08,0.95,0,12.66,9.99,73.15,0,0,1.03,0,0,4.55,0,7.61,12.77,0,0,0,0
 24-34,0,0.66,27.28,0,0,5.33,0,1.53,1.76,0,0,0,0,0,0,0,0,0,0,42.55,0,0,36.98,71.93,38.01,0,0,0,0,30.78,0,0,5.48,14.04,0,5.45,0,1.55
 36-46,0,0,20.99,0,0,4.63,1.61,0.69,4.09,1.69,0,0,0,11.77,0,0,0,0,0,48.23,2.79,0,32.89,25.74,22.8,0,0,0,0,31.72,0,0,0,10.48,0,0,0,0
 48-58,0,0,5.2,0.53,0,10.45,0,4.94,10.6,2.14,0,0,0,0,0,0,0,0,0,63,4.34,0.56,10.21,22.31,28.36,0,4.53,0,0,10.29,0,0,0,12.06,0,2.32,0,0.38
 60-70,0,0,0.58,0,8.61,5.31,0,0.91,8.22,4.37,0,0,0,0.76,0,0,0,1.77,0,85.06,9.7,0,4.57,10.9,16.65,0,7.4,0,0,4.89,0,0,0,2.12,0.71,0,0,0
 72-82,0,0,8.85,0,0.76,12.1,0,4.39,17.72,2.66,0,0,1.08,0,0,0,0,0,0,114.98,2.03,0.93,3.55,16.99,2.33,0,2.63,0,1.51,3.05,0,0,0,4.46,2.24,6.96,2.17,0
 84-94,0,0,17.15,0,0,3.93,0,0,2.78,10.49,3.28,0,0,0,0,0,0,0.58,0,82.27,11.26,0,7.76,15.13,8.64,0,0.7,0,0,21.71,0,0.67,0,3,2.39,0,0,0
 96-106,0,0,9.46,0,4.73,5.79,0,0.62,1.9,6.04,4.05,0,0,0,0,0.74,0,0,0,72.05,7.39,2.46,0.56,11.66,2.42,0,3.14,0,0,9.84,0,0,0,0,0,2.2,3.8,8.82
108-118,0,0,14.35,0,85.56,13.26,0,2.09,3.78,9.65,4.34,0,0,0,0.46,0,0.69,0.43,2.19,84.49,11.56,0,4.5,53.65,8.41,0,5.86,0,0,7.45,0,0,0,3.79,1.66,1.57,2.42,0
120,1.12,3.29,11.93,0,24.02,8.47,0,3.6,0,24.45,3.76,0,0,0,0,0,9.45,0,0,56.34,20.92,2.76,0,14.03,9.62,2.34,6.78,0,0,10.21,0,0,0,12.55,0,0,0,0
