stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.56,198.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.31,0,0,0,18.93,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.92,0,10.36,0,0,0,0,0,0,0,5.85,0,0,0,0,0,0,0,0,0,0,0,93.45,0,0,0,9.89,0,0,5.55,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.76,1.7,0,2.13,0,0,0,2.3,0,0,0,0,0,0,0,0,0,3.02,0,0,4.99,52.27,0,0,1.79,0.87,0,0,0,0.88,0,2.35,31.07,0,0,0,0,0
 24-34,0,0,0.62,0.61,4.47,0,0,0.6,0,0,0,1.24,0,0,0,0.71,0,0,0,0,1.47,16.73,0,0,5.11,87.52,0,13,0,0,0,0.92,0,0,0,0,42.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.88,0,0,3.68,0,0,0,0,0,0,0,0,0,8.16,0,1.59,4.16,72.03,0,5.85,0.58,0,0,5.66,0,0.58,0,0,33.33,0,0,3.05,0,0
 48-58,0,0,0,0.43,0,0,0,11.17,0,0,0,15.07,0,0,0,0,0,0,0,0,0,10.29,0,0.54,0.41,129.61,2.57,12.22,0,0,0,0,0,0,2.93,0,56.34,0,0,1.69,0,0
 60-70,0,0,0,0,0,0,0,15,0,0,0,19.96,0,0,0,0,0,0,0,0,0,32.51,0,0.87,1.56,211.5,1.09,18.14,0,0,0,2.01,0,0,2.06,0,13.45,0,0,0,0,0
 72-82,0,0,0,0,9.47,10.31,0,54.97,2.53,0,3.87,18.89,0,0,0,0,0,0.57,1.82,0,0,64.17,0,0,6.03,367.38,0,9.33,10.92,0,0,0,0,0,0,0,23.98,0,2.9,0.9,1.95,0
 84-94,0,0,0,0,13.98,2.78,0,39.92,0,0,0.74,15.38,0,0,1.66,0,0.82,0.82,0,0,0,81.78,0,2.49,0.81,251.23,0,15.66,0,0,0,2.46,0,0,0,0,7.33,0,4.21,5.72,2.02,0
 96-106,0,0,0,0,6.02,0,1.52,32.95,1.06,0.91,0,14.01,0.57,0,1.75,1.7,0,0,1.13,1.36,0,113.51,0,3.26,2.02,414.1,0,8.19,4.49,0,1.45,4.27,0,0,0,0,9.48,1.13,5.43,0,1.46,0.68
108-118,0,0,0,0,1.16,1.01,0,68.58,0,0.43,5.04,32.74,0,0,0,2.8,1.08,0.61,0.72,0,0,133.17,1.27,3.11,0.91,462.37,0,7.75,6.5,0,3.27,0.73,0,0,0,0,9.45,0,1.19,2.84,0.9,0
120,0,0,0,0,10.41,0,0,79.92,0,1.21,0,35.18,0,0,0,0,0,0,0,0,0,122.52,0,3.51,0,362.5,0,23.59,0,0,7.89,0,0,0,0,0,14.2,0,2.41,2.97,3.54,0
