stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,312.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.84,230.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.1,0,8.69,0,0,18.86,0,0,0,3.85,0,0,0,0,0,0,0,0,119.44,13.81,0,0,24.09,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.34,19.23,0,0,0,11.54,0,0,0,0,0,0,0,0,281.61,36.44,0,0,66.98,0,0,0,13.48,0,0,0,0
 14-21,0,0,0,1.04,2.18,5.46,4.64,0,1.11,0,0,0,0,0,0,0,3.38,0,3.18,50.7,0,1.7,0,0,0,0,3.04,0,4.56,18.6,0,2.25
 24-34,0,0,0,0.77,4.58,0,6.97,0,0.83,0,0,0,0,0,0.76,1.83,8.83,0,6.37,86.07,1.19,0,1.57,0,0,0,0,0,1.23,20.18,0,3.48
 36-46,0,0,0,0,0.55,0,26.13,1.93,6.23,0,0,0,0,0,0,0,7.98,0.63,1.6,99.76,0,0.91,0,0,0,0.81,0,0.65,0,24.87,0,1.94
 48-58,0,0,0,0,0.97,0,43.66,2.04,8.47,0,0,0.38,0.5,0,0,0,12.35,0,0,83.05,0,1.84,0.45,0,0,2.12,0,0,0,19.78,0,0
 60-70,0,0,0,0,2.52,0,47.42,0,15.38,0,0,0,0.95,0,0,0,24,0,1.3,90.31,0,0,1.27,0,0.97,0,0,0,0,8.21,0,0.93
 72-82,0,0,0.56,0,0.5,0,40.76,3.24,4.59,1.23,0,0,0,0,0.54,0,9.72,0.63,2.18,75.49,0,0,0,0,0,0,0,0,0,10.43,0.68,3.51
 84-94,0,0,2.22,0,0,0,39.63,1.14,11.13,0,0,1.45,0,0,0,0,6.61,0,2.73,23.7,0.6,0,1.05,0,0,0.61,0,0.74,0,5.12,0,1.43
 96-106,0,0,0,0,0,1.47,9.95,0.59,8.14,0,0,0,0,0,0,1.3,6.06,0,0.9,34.1,0,0,1.08,0,0,3.55,0,0,0,5.27,0,0
108-118,0,0,0.62,0,0.46,0,3.21,0,2.84,0.64,0,0,0,0,0,0,6.72,0,0,31.29,0,0,0,0,0,4.06,0,0,0,0.62,0,1.05
120,0,0,0,0,0,0,9.74,0,0,0,0,0,1.24,5.27,0,0,9.81,0,6.84,37.62,0,0,1.66,0,0,0,0,0,0,19.76,0,0
