stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,8.66,9.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,3.7,5.26,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,0,0.87,0,0,4.24,0
 24-34,0,0,0,0,0,0,0,0,0,3.6,0,0,0,3.38,10.77,0,0,0,0,1.14,0.91,0,11.87,0
 36-46,0,0,0.62,0,0,0,0,0,0,0.63,0,0.87,0,0,15.12,0,0,0,0,0,0.78,0,12.32,0
 48-58,0,0,0,0,0,0.39,0,0.46,0,1.32,0,4.27,0.72,0,15.2,0,0,0,0.56,0,0,0,36.17,0
 60-70,0,0,0,0,0,3.67,0,2.13,0,14.6,0,1.63,1.8,0,8.61,0,0,5.07,0,0,0,1.41,81.31,0
 72-82,0,0,0,0,0,1.73,0.78,0,0,7.32,0.84,23.43,6.3,0,8.62,0,0,2.91,0,0,2.36,0,117.12,3.8
 84-94,0,0,9.53,0,0,1.29,0,0.6,0,11.95,0,9.15,9.22,0,6.14,0,0,8.65,1.99,0,2.07,7.85,173.19,3.86
 96-106,0,0,3.09,2.12,0,8.84,1.49,4.28,0.63,12.96,0,31.13,9.37,2.74,23.22,0,0,21.14,5.7,0,0,2.99,216.6,6.61
108-118,0,0,0.47,1.51,0.5,0,0,0,0,17.34,0,15.29,15.72,0,3.31,0,0,16.87,3.99,0,0,1.3,192.96,6.97
120,0,0,11.8,0,0,5.98,0,0,0,29.99,0,27.36,29.41,0,10.3,0,0,6.29,0,0,0,0,270.34,12.04
