stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91,0,0,0,4.45,0,0,0,0,0,0,0,0
 14-21,0,1.04,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0.99,8.35,0,0,0,0,0,0,0,5.71,0,0,0,0
 24-34,0,1.14,0,2.29,0,0,0,1.08,0,0,0.96,0,1.81,0,0,0.65,44.84,5.85,4.85,0,0,1.63,0,0.61,5.31,0,0,0,0
 36-46,0,1.08,0,4.79,0,0,0,0,0,0,0,5.5,2.09,0,0,1.07,115.21,8.63,3.73,0,0,0,0.59,0,4.16,0,0,0,0
 48-58,0,0.8,0,16.2,0,0,8.31,0,0,0,0,0,0,0,0,0,138.14,0,0.62,0,0,2.3,0,0,9.9,0,0,0,0.39
 60-70,0,2.89,0,71.24,0,0,6.81,0,0,0,0.79,0,3.23,0,5.13,0,158.52,0,3.16,0,0,0,0,0,8.13,0.81,0.75,0,0
 72-82,0,1.09,3.87,113.04,0,1.95,6.73,1.97,0,0,0,0,7.73,0,0,0,155.84,0,27.35,0,0,3.97,0,0,15.75,1.01,0,0,2.17
 84-94,0,0.64,0,70.55,0,1.82,4.92,0.6,0,0,0,0,23.21,0,0,0,89.74,1.17,14.83,0,0,0.75,0,0,5.38,18.93,3,0,0
 96-106,0,0.62,0,42.71,0,0,13.04,2.54,0,0,0.79,0,3.49,1.5,0,0,128.03,0,4.62,0,0,0,0,0,10.86,12.57,0,1.28,0
108-118,0,2.42,0.59,64.48,0.66,0,22.16,0,0.42,0.83,2.36,0.5,5.73,0,0,0,109.74,0,12.48,1.25,0,5.4,1.48,0,1.14,22.28,0,1.03,0
120,0,1.43,0,70.44,0,0,33.79,0,0,0,0,0,18.78,0,0,0,242.32,0,49.07,0,0,0,0,0,11.19,5.03,0,0,0
