stage,epidermis,eye,glial,mesenchyme,neural,olfactory,paraxial_mesoderm,spinal_cord,xanthophores
 10-12,0,0,0,0,0,0,5,0,0
 24-34,0,0,0,0,10.88,1.22,0,1.44,0
 36-46,0,0,0,0,10.55,0.81,0,3.5,0
 48-58,0,0,0,0,28.55,0.7,0,3.89,0
 60-70,0,2.62,0,0,44.07,0,0,2.66,0
 72-82,0,3.62,0,0,28.36,0,0,1.6,0
 84-94,0,4.27,0,0.9,50.95,0,0,0.77,0
 96-106,2.44,2.18,0.97,1.79,46.04,0,0,0,0
108-118,1.89,3.19,0,0,21.34,0,0,1.76,1.5
120,0,0,0,4.8,40.47,9.67,0,0,0
