stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,127.63,3.13,58.7,3.4,0,4.19,0,0,0,0,0,0,0,0,1.7,0,0,0,0,5.16,0,0,17.84,111.82,19.48,2.15,2.4,17.23,0,38.09,20.79,0.91,88.66,329.98,21.37,0,0,2.13,0,0
 24-34,59.41,0,10.09,0.84,0,5.97,8.18,0,0,0.72,0,0,4.11,0,1.77,0,3.81,0,0,4.72,0,0,35.34,358.18,6.89,8.23,2.98,0,2.91,25.88,0,1.08,42.36,82.45,52.38,0,0,3.84,0,0
 36-46,42.4,0,14.87,0,0,28.68,34.62,0.62,0,7.35,0,0,3.29,0.64,1.03,0,0.57,8.72,0,20.79,1.07,0,39.36,376.63,5.8,4.52,2.91,0,0,26.73,0,3.2,44.24,9.03,70.3,0,1.04,3.72,0,0
 48-58,31.44,0,3.94,0,0,92.08,17.76,0.52,0,17.48,0,0,1.61,0,0.5,0.58,1.39,0,0.41,32.9,0,0,24.98,557.52,0.84,5.03,3.08,0,0,15.21,0,0.95,27.44,0,71.06,0,0.37,2.23,0,4.22
 60-70,10.9,0,2.57,0,0,188.56,32.38,1.14,0.81,6.16,0,0,14.86,0,0,0.61,0,0,0,68.59,1.53,8.95,29.38,441.67,0.58,3.85,12.73,0,10.46,8.26,0,0.65,18.66,0,52.13,0,0,1.78,0,1.77
 72-82,40.25,0,5.39,0,0,174.52,20.03,2.2,1.27,12.15,1.97,3.11,0.66,6.58,0,5,1.36,0,3.31,116.6,0,1.68,33.91,624.5,0.52,6.03,2.69,0,0,8.75,0,1.77,6.55,0,40,0.67,0,8.76,0,11.7
 84-94,53.31,1,4.61,0,2.35,117.72,18.02,0,1,8.36,4.61,0,1.43,0,0,0,1.43,1.49,0.95,146.99,0,0,27.15,453.55,1.33,9.74,6,0,5.69,19,0,0.64,14,0,20.41,0,2.45,4.49,0,0
 96-106,48.97,0,11.02,2.23,1.14,136.34,27.46,0,0,3.04,5.2,0,0.62,1.59,2.74,3.9,12.18,0,0,162.3,0,2.27,29.93,352.14,0,6.83,8.49,0,16.18,30.07,0,1.58,14.37,0,32.23,0,2.91,0.96,2.72,0
108-118,35.5,0,20.66,0,0.75,157.22,32.9,0.74,4.41,12.29,4.94,0,0,1.01,0.85,4.55,2.42,0,0.61,145.04,0.77,1.97,26.96,353.51,1.41,0.81,5.41,0,18.17,19.85,0,1.57,11.79,0,15.78,1.64,1.42,0,0.74,0
120,13.34,0,1.31,0,0,111.11,35,0,0,9.57,1.32,0,0,0,2.19,3.6,2.98,0,0,111.65,0,0,36.9,492.15,0,2.28,9.46,0,20.94,16.23,0,1.56,1.21,0,5.23,0,15.01,0,0,0
