stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,200.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,66.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.09,0,0,0,19.3,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.97,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.14,26.68,0,0,4.44,0,0,0,0,0,1.01,0,0.99,0,0,0,1.05,2.15,0,0,1.85,42.15,0,0,0,0,0,10.75,0,0,4.81,7.16,0,0,0,0,0
 24-34,0,0,0,8.65,0,0,18.85,0,0,0,1.91,0.67,1.02,11.49,5.18,0,1.39,0.86,1.5,6.25,0,0,5.59,83.42,1.91,0,1.07,0,14.24,0,5.09,0.65,4.4,11.44,0,0,12.03,0,3.43
 36-46,0,0.85,0,1,13.46,0,11.59,0,0,0,3.47,0,0,1.75,13.86,0.65,0.67,5.07,0,12.82,1.78,0,0.61,38.91,0,2.57,0,0,27.9,0,12.43,0,0,18.96,0,0,1.95,0,0
 48-58,0,0.42,0,6.4,0,0,38.1,0.88,0.83,1.04,6.75,0.43,0,3.21,0.83,0,0.47,7.23,1.88,15.02,0.65,8.35,2.63,35.88,0,1.45,0.77,0,7.82,0,3.81,0,0,5.42,0,0,0.66,0,4.98
 60-70,0,0,0,16.63,0,0,74.88,0,2.75,1.34,22.22,2.23,0,14.16,4.03,3.63,0,0.74,1.22,18.03,0.63,0.76,1.67,88.67,1.09,3.17,0,0,17.19,0,1.33,0,0,6.29,0,0,7.29,0,21.66
 72-82,0,2.14,0,2.93,4.7,1.04,96.65,1.65,0,0.9,50.08,6.01,2.79,8.61,2.19,3.82,1.61,26.04,0,39.38,1.62,8.15,3.37,43.75,0,7.4,1.16,0,10.86,0,14.69,0,0,10.81,0,0,1.43,0.49,1.08
 84-94,0,4.37,0,7.98,0.81,0,74.17,0,2.44,0.73,29.58,9.35,0,15.6,7.55,2.54,1.57,7.72,0,29.13,1.01,0,0,17.12,0.58,0.93,2.77,0,40.89,0,12.79,0,0,1.7,0.62,0,3.5,1.88,7.43
 96-106,0,5.19,0,11.12,6.5,0.84,38.12,0,9.05,0,45.42,7.04,0,10.2,11.69,8.16,1.97,16.17,3.66,24.92,2.03,0.78,3.65,62.34,0.57,10.56,1.21,0,20.86,0,12.14,0,0,6.66,2.82,0,0.72,0,0.89
108-118,0,0.75,1.06,21.83,4.58,3.01,47.14,0,2.12,1,39.51,12.01,0,10.43,7.67,8.38,1.49,19.63,0,54.87,1.71,0,5.54,36.81,0,6.91,2.88,0,25.89,0,23.47,0,0,1.16,1.87,1.2,1,0,1.88
120,0,13.75,0,7.26,1.78,0,27.26,0,0,4.63,71.03,21.46,0,46.53,4.57,5.28,0,34.62,1.55,49.24,0,0,3.67,69.43,0,17.52,22.17,0,60.64,0,14.72,0,0,0,0,0,10.5,0,1.16
