stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,233.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,122.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,26.62,0,0,0.84,0,0,0,4.84,0,0,0,11.65,0,0,0,0,0
 24-34,0,0,2.25,4.31,0,0,6.5,0,0,0,6.49,0,0,0.86,0,0,0,0,0.68,1.29,4.86,0,0,1.22,841.48,44.67,1.81,0,0,8.35,0,0,0,0,0.63,154.64,0,0,0,0,0
 36-46,0,0.95,0,9.86,0,0,63.57,0,0,0,53.4,0,0,1.06,0,0,0,0,0.78,0,12.23,0,0.77,2.25,2918.95,107.73,0,0,1.69,3.5,0,0,10.74,0,0,681.37,0,0,0,0,0
 48-58,0,0,0,7.33,0.48,0,152.35,0,6.85,0,53.86,0,0,0,0,0,0,0,0,1.28,17.21,1.36,1.14,2.09,2266.7,78.96,1.07,0,0,10.04,0,0,0,0,0,748.36,0,0,4.52,0,0
 60-70,0,0,0,4.65,0,0,206.1,0,1.81,0,26.5,0,0,0,0,0,0,0,1.41,0,25,0,0,1,2199.58,74.75,0,0,0,4.72,0,0,0,0,0,332.06,0,0.79,0,0,0
 72-82,0,0.79,0,11.66,0,0,248.06,0.95,0,6.75,35.41,2.21,0,1.5,1.06,0,0.57,0.68,0,0,18.76,0,0,0,1764.95,84.27,0,0,0,5.51,1.65,0,0,2.66,0,180.31,0,0.66,0.93,0,1.18
 84-94,0,0,0,7.45,0,0,201.96,3.76,0.86,2.31,22.89,3.6,0.71,0,0,0.68,0,0,0.78,1.11,17.55,0,5.41,0.83,1186.31,85.37,4.68,0,0,5.29,0,0,0.6,0,0,139.08,0.85,0,1.63,0.61,0
 96-106,0,2.24,0,5.07,8.12,0.72,148.56,0,1.32,2.19,35.82,3.67,0,0,0,0,0,0,8.39,1.28,16.68,1.8,0.63,1.26,918.12,75.51,2.51,0,0,9.86,0,0,0,0,0,22.27,0,0,7.47,0.64,0
108-118,0,0.6,0,9.14,0,0.43,171.37,0.45,0.5,0.75,26.14,5.96,0,0,0,0,0.42,0.84,9.3,3.72,20.27,0,0.66,0.51,1122.59,64.7,7.84,0,0,5.45,0,0,0,0,0,55.94,1.13,0,3.47,4.89,0
120,0,8.91,0,21,0,0,145.22,0,0,10.14,43.67,0,0,0,9.25,0,0,0,9.32,0,10.11,0,0,0,1706.66,71.95,5.41,0,0,1.04,0,0,2.39,0,0,72.98,0,0,0,0,0
