stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,0,0,0,3.42,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.93,0,0,0,4.27,0,9.55,0,0,0,0
 14-21,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.75,1.36,0.62,0,0,0,0,0,0,0,0,1.34,0,2.55,10.14,0.74,1.72,0,0,4.06,0,1.62,1.62,0,0
 36-46,0,0,0,0,8.94,1.02,0,0,0,0,0,1.66,0,0,0.57,10.87,0,0,0,0,0,0,6.34,1.34,0,0
 48-58,0,0,2.28,0,4.24,0,0,0,0,0,0,0,2.57,0,2.11,23.63,0,0,0,0,0,0,2.78,0,0,0
 60-70,0,0,4,0,2.04,0,0.75,0,0,3.59,0.59,0,3.16,0,0,18.67,0,0,2.68,0,0,0,0,0,0,0
 72-82,0,0,2.79,0,11.14,3.73,0,0,0,0,0,0,1.94,1.08,0.6,15.7,0,0,0,0,0,0,1.04,0,1.16,0
 84-94,0,0,0.84,0,5.46,0,0,0,2.9,0,0,0.73,3.08,0,0,6,0,0,0,0,0,0,0,1.4,0,0
 96-106,0,0,1.31,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0,0,0.63,0,0,0,0,0
108-118,0,0,0,0.7,3.66,2.23,0,0,0,0.48,0,0,3.26,0,0,0.43,0,7.65,0,0,1.57,0,0,0,0,0
120,0,0,0,1.49,2.6,0,0,2.03,0,0,0,0,0,0,0,3.01,0,2.89,0,0,1.02,0,0,0,0,6.41
