stage,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,pronephros
  3-4,11.72,0,0,0,0,0,0,0
  5-6,12.95,0,0,0,0,0,9.89,0
  7-9,0,5.44,6.74,4.26,32.73,3.58,18.05,0
 10-12,7.14,4.98,7.29,0,10.41,0,20.47,6.08
 14-21,0,0,0,0,1.49,0,0,0
