stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,3.5,0,4.81,0.84,0,2.02,0,0,0.88,0,0,0,0,0.89,0,0,0,0,2.17,0,4.85,16.17,0,0,0,0,0.9,2.09,0,6.85,2.7,0,0,1.16,0
 24-34,0.75,0,2.17,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,6.14,2.16,0,1.64,24.47,0,0,0,3.29,0,0,0,0,4.48,0,0,0,0
 36-46,0.94,0,2.38,0,0,3.27,1.14,2,0.6,0,0,0,0,0,0,0,0,4.69,2.89,0,0,60.22,2.45,0,0,6.87,0,0,0,0,10.67,0,0,2.18,0
 48-58,2.92,0,0,0,0,16.61,0,0,1.22,0,0.37,0,0,0,0,0,0,3.35,4.83,0,0,175.55,1.85,0.7,0,1.31,0,0,0,0,0.4,0,0,0,0
 60-70,0,0,0,0,0,116.41,0,0,0.79,0,0,0,0,0,0,0.71,0,0,8.79,1.28,2.51,140.85,1.42,0,0,1.33,0,0,0,0,5.64,0,0,0,0
 72-82,2.34,0,2.69,0.54,0,451.45,0,1.71,10.74,0.73,0,0.51,0,0,5.83,0.99,0,0,12.98,0,0.62,492.6,3.14,2.65,0,0,0,0,0,0,18.11,0,2.82,2.6,0.89
 84-94,0.66,0,0.66,0,0,351.37,0,0,12.92,0.66,0,1.22,0,0,0,0.69,0,9.73,19.65,2.23,0.66,308.42,0,9.05,0,0,0,0,0.74,0,11.83,2.89,0,4,0.62
 96-106,0.99,0,1.41,4.07,0,289.46,0,0,7.9,0,0,0,0,0,0,2.62,3.52,0,24.53,1.29,4.98,306.05,1.62,6.44,0,0,0,0,0,0,3.2,1.57,0,0,2.3
108-118,1.45,0.49,1.49,2.38,3.92,287.01,0.44,0,15.47,0,0,0,0.5,0,0,2.86,0,0.78,13.59,0,4.44,388.99,1.21,9.45,0.96,0,0,0,0.43,0,12.35,1.8,0,0,3.34
120,0,0,0,0,0,188.22,0,0,37.31,0,0,0,0,0,0,5.16,0,0,11.44,5.31,0,478.23,0,16.92,0,1.07,0,0,0,0,14.58,0,0,0,0
