stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0,0
  5-6,0,55.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.63,0,0,0,0,0,0,0,0,0
  7-9,9.69,0,0,11.94,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.09,0.85,0,0,0,0,0,2.12,0,0,0,0,0,0,0,1.74,0,0,0,82.01,0,0,0,0,0,0.85,0,5.78,10.51,89.99,0,0,0,0
 24-34,0,0,0.81,4.44,2.9,0,0,13.3,14.47,0,0,0,0,7.56,0,0.86,0,0,11.43,8.46,0,0,18.29,550.46,0,0,0,0,4.43,0,0,25.54,8.27,198.37,0,0.68,0,2.71
 36-46,0,0,0,0,0.94,0,0,80.31,55.15,2.83,0,2.11,0,8.56,0,0,0.6,3.55,7.71,9.94,0,0,6.3,1207.51,0,1.94,0,0,0,0,0,27.31,0.84,276.91,0,0,0,0.61
 48-58,0,0,0,0,1.62,0,0,380.43,36.93,0,0,9.62,0,2.57,0,0,0.41,4.83,3.96,24.53,2.57,5.49,2.6,1751.25,5.4,1.89,2.32,0.56,3.93,0,0,29.93,0,280.51,0,1.46,0,7.92
 60-70,0,0,0,0,7.32,0,0,1202.38,19.72,1.82,0,28.81,0,2.12,10.44,0,2.95,3.62,0,13.69,1.83,0,9.87,2466.42,0,1.31,1.23,0,6.17,0,0,14.28,0,342.01,0,1.08,0,6.11
 72-82,0,0,1.01,0,4.46,9.52,0,986.88,23.82,0.63,0.55,58.15,2.77,0,0,1.73,5.5,11.04,6.19,45.79,0.55,1.59,2.85,2189.3,0,2.9,2.61,1.67,15.09,0,1.73,4.13,0,192.28,2.42,2.18,1.65,15.38
 84-94,0,0,0,0,14.84,1.71,0,575.98,14.95,0,2.86,38.23,0,1.27,0,0,1.29,17.66,0,39.52,0,10.3,1.61,1496.17,0,0,0,0,2.29,0,0,5.85,0,115.86,0,3.23,9.08,2.76
 96-106,0,0,0,0,9.01,11.52,9.83,590.17,11.31,0,0,60.7,2.26,0,2.95,0,5.25,18.13,0,35.93,0,3.48,3.69,1206.27,0,7.2,1.44,0,11.4,0,0,7.23,0,84.11,1.27,3.7,3.59,8.18
108-118,0,0,0,0,15.79,2.04,1.55,542.97,19.85,0,0.87,38.8,0,0.49,0,1.23,10.18,10.87,0.53,32.77,0,9.49,13.35,1659.16,0.42,3.82,2,1.49,5.6,0,0,14.76,0,56.94,0,0,3.1,11.65
120,0,0,0,0,27.81,0,0,461.61,24.67,0,6.67,46.65,0,2.09,0,1.65,8.69,38.79,0,46.25,0,2.75,7.91,2107.95,3.28,3.27,0,0,23.53,0,0,2.95,0,46.78,0,0,0,13.4
