stage,immune,olfactory,periderm
 24-34,0,0,0.61
 36-46,0,0,0.99
 48-58,0,1.07,1.68
 60-70,0,2.66,0
 72-82,0,2.58,0.61
 84-94,0.95,1.1,1.25
 96-106,0.98,0,0.93
108-118,2.14,0.43,0.55
120,1.22,1.11,0
