stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vascular_smooth_muscle
  3-4,13.45,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,80.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,31.53,0,0,0,15.16,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.95,0,0,0,4.42,0,0,0,0,0
 14-21,0,0,0,0.81,0.9,0,0,0,0,0,0,0.86,0,0,4.18,0,0,0,0,0,3.19,0,0.86,0
 24-34,0,0,0,0,0,0,0,0.85,0,0,0,1.37,0,0,12.25,0.68,0.74,0,0,0,0,0,1.32,0
 36-46,0,0,0,0,7.82,0,0,0,0,0,0,2.12,0.85,0.79,19.58,0,0,0,0,0,0,0,6.31,0
 48-58,0,0,0,0,1.11,1.8,0,0,0,0,0.5,0.8,0,0,14.02,0,0,0,0,0,0,1.2,0.77,0
 60-70,0,0,0,0,4.9,0,0,0,0,0,0,0.94,0,0,7.97,0,0,0,0,0,0,0,1.54,0
 72-82,0,0,1.62,0,1.39,1.51,0,0,0.5,0,0,1.24,0,0,15.69,0,0,0,0,0,0,0,0,0.66
 84-94,0,0,0,0.56,6.2,4.56,2.75,0,0,0,0,1.06,0,1.08,14.9,0,0,4.5,0,0,0,0,2.85,0
 96-106,0,0,0,3.58,0,5.84,0,0,0,0,0,0,0,0,7.05,0,0,0,0,0.58,0,0,0,0
108-118,0,0,1.34,0,7.3,0,0,0,0,1.11,0,1.78,0,0,3.55,0,0,0,0,0,0,0,1.42,0
120,0,0,0,0,2.05,5.93,0,0,0,0,0,0,0,0,21.67,0,0,0,0,0,0,0,0,0
