stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.73,188.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,111.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,0,0,0,0,0,8.98,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.89,13.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.55,0,0,0,72.06,0,11.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.36,55.86,0,0,0,8.42,0,0,0,0,0,14.55,0,0,0,0,0,0,0,0,0,0,0,516.25,19.56,0,0,70.54,0,38.26,0,0,5.84,0,0,0,0,0,0,0,0
 14-21,0,0,12,410.34,4.16,0,26.42,0,1.07,0,10.85,18.84,0,0,0,0,0,0,10.62,3.77,37.2,0.82,0,20.56,73.92,98.99,0,1.82,0,0,53.16,0.9,7.48,2.81,3,24.9,43.68,0,0,4.43,0,0
 24-34,0,0,43.21,201.18,3.25,0,136.03,0,12.17,0,32.72,4.92,0,26.88,0,0,2.07,1.45,14.67,14.59,268.99,1.9,0,85.12,197.36,41.12,0,2.08,0,0,266.34,0,0,1.41,0,16.05,100.33,0,0,60.52,0,5.47
 36-46,0,0,3.24,108.27,0,0,90.73,5.73,64.27,5.72,30.69,13.57,0,31.04,0,17.5,0,0,8.24,20.02,330.23,0,8.45,39.66,139.05,41.98,0.89,10.27,0,1.69,326.95,0,0,3.29,0,0,57.41,0,0,62.62,0,16
 48-58,1.15,0,0.57,66.9,0,0,61.72,2.85,24.21,13.16,77.55,1.65,0,16.93,0.98,0,0,2.67,0,9.24,364.91,2.79,11.42,21.56,128.67,66.57,0,11.54,0,0,94.45,0,0,1.94,0,0,52.58,0,1.12,64.13,0,15.67
 60-70,0,0,10.35,98.1,0,0,96.02,2.76,42.72,20.83,136.68,14.38,0,8.11,0,0,7.4,3.2,2.4,0.7,499.76,1.41,15.8,37.49,75.19,44.86,1.33,2.76,0,15.69,154.59,0,0,2.13,0.71,0,25.4,0,14.08,55.38,3.77,3.34
 72-82,0,0,0,91.54,8.24,1.16,85.12,2.44,27.73,16.37,222.5,26.54,0,3.05,11.35,2.18,3.82,7.68,3.64,1.45,764.91,0.61,47.58,42.96,100.11,16.54,1.31,30.61,0,23.87,66.5,0,0,4.52,0,0,34.28,0,27.02,84.1,17.8,10.91
 84-94,0,0,0,202.42,19.36,0,104.21,0,63.84,24.3,164.88,37.02,0,7.13,9.48,3.02,14.51,1.08,1.68,10.41,594.12,0.71,37.69,28.13,64.04,28.88,1.99,15.15,0,15.32,181.3,0,0,8.78,0,0,9.53,2.65,15.56,69.71,11.57,4.73
 96-106,0,0,0,331.81,30.17,4.85,132.75,0,116.16,28.35,247.18,69.4,0,5.51,12.81,4.05,6.74,8.27,22.22,4.19,745.59,7.03,58.6,33.65,154.82,38.46,6.75,17.42,0,28.35,339.2,0,0,3,0,0,23.51,0.67,61.87,111.96,21.3,11.49
108-118,0,0,0.44,255.97,3.43,2.4,158.63,1.25,147.93,18.2,239.25,125.65,0,12.43,3.76,14.48,19.59,2.21,13.46,24.4,774.31,7.58,85.49,27.38,117.38,62.64,4.33,20.51,0,42.3,208.17,0,0,10.99,0.6,0,12.7,0,23.94,91.07,12.49,26.26
120,1.12,0,0,238.63,20.08,0,117.24,0,117.6,25.03,327.44,86.68,0,15,11.48,0,28.36,1.34,12.27,38.21,676.76,7.7,44.15,20.03,156.83,135.61,8.64,27.9,0,44.92,152.51,0,0,20.84,0,0,22.39,0,67.12,56.57,28.72,13.63
