stage,blastomeres,epidermis,erythrocytes,fin_epithelia,fin_mesenchyme,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,neural,olfactory,periderm,vasculature,xanthophores
  3-4,69.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.55,0,0,0,0
 14-21,0,2.66,0.85,0,0,0,0,0.86,0,0,0,0,0,3.42,0,0
 24-34,0,0.68,0,0.86,0,0,1.01,0.85,0,0,0,0,0,4.73,0.81,0
 36-46,0,2.49,0,0,0,0,0.57,0,0,0,0,1.68,0,0,4.77,0
 48-58,0,0.44,0,0,0,0,0,0,0,0,0.39,0.51,0,0,0,2.21
 60-70,0,0,0,0,0,0,10.2,0,0.85,0,0,0,0,0,0,2.64
 72-82,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0
 84-94,0,2.71,0,0,0,0.91,0.57,0,0.76,0.83,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.03,0,0,0,0,0,0.59,0,0,0
108-118,0,2.11,0,0,1.82,0,2.9,0,0.58,0,0,4.17,1.37,0.47,0,0
120,0,0,0,0,0,0,4.51,0,0,5.62,0,2.68,8.23,0,0,0
